team,name,position,adjustedRating,overallRating,parriedDangerRating,cccPassesRating,shotsAccuracyRating,errorsRating,goalsConcededRating,dribbleSuccessRating,aerialSuccessRating,collectedRating,totalSavesRating,dribbledPastRating,goalsRating,defenseThreeRatting,passesAccuracyRating
Liverpool,Loris Karius,GK,3.411902370061055,8.529755925152637,5.541620194193872,0,0,15.0,20.0,0,0,14.849693314326112,23.486893584085575,0,0,0,6.419352158920809
Liverpool,Joseph Gomez,DR,2.143970941820275,5.359927354550687,0,0.0,0,9.0,0,1.148455916387796,2.5000000750000013,0,0,16.0,0.0,15.000000450000005,9.950817104119064
Liverpool,Dejan Lovren,DC,2.772648773734433,6.931621934336083,0,7.377049180327869,0,15.0,0,0,17.07576694256348,0,0,10.0,0.0,10.618172805193915,9.245230415275566
Liverpool,Ragnar Klavan,DC,2.322566574795099,5.806416436987748,0,0.0,0,15.0,0,0,17.07576694256348,0,0,10.0,0.0,7.125757433413591,8.862639993900407
Liverpool,Alberto Moreno,DL,2.362961590797304,5.907403976993259,0,0.0,0,9.0,0,1.148455916387796,0.043169856791658225,0,0,16.0,0.0,29.60597566467152,3.2764383320816153
Liverpool,Sadio Mané,MR,3.346904390450233,8.367260976125582,0,10.0,0,-5.0,0,10.0,0.043169856791658225,0,0,0.0,40.0,20.219180558866174,8.410259345597973
Liverpool,Emre Can,MC,1.9691367798235548,4.922841949558887,0,0.0,0,10.0,0,10.0,4.956830143208342,0,0,-5.0,0.0,12.500000375000006,16.77158897738052
Liverpool,Georginio Wijnaldum,MC,2.3745732336806205,5.936433084201551,0,5.0,0,10.0,0,0.22750129890124482,4.956830143208342,0,0,0.0,0.0,22.622736576156562,16.55726282374935
Liverpool,Philippe Coutinho,ML,3.822534677468226,9.556336693670564,0,10.0,0,-20.0,0,10.0,4.956830143208342,0,0,5.0,60.0,20.219180558866174,5.387356234631121
Liverpool,Roberto Firmino,FW,3.3223066341252463,8.305766585313116,0,7.397260273972603,19.98579614477346,0,0,5.0,6.305586537204087,0,0,0,20.958904109589042,4.872380092197548,18.537738695394406
