Jusuf.Nurkic,1.0(1.0),0.4176267230171595(0.4176267230171595),0.3540131561429033(0.3540131561429033),0.37247428441436886(0.37247428441436886),0.04162017987569501(0.04162017987569501),0.0(0.0),0.0(0.0),0.11064773420626907(0.11064773420626907),0.5694792361507565(0.5694792361507565),0.0(0.0),0.0(0.0),0.7296010279331828(0.7296010279331828),0.4064555150655861(0.4064555150655861),0.19475157948675423(0.19475157948675423),0.002462199816632243(0.002462199816632243)
LaMarcus.Aldridge,0.9304259708155451(0.9304259708155451),0.2639832229652397(0.2639832229652397),0.16430767288800055(0.16430767288800055),0.4939984188509198(0.4939984188509198),0.24548841776172703(0.24548841776172703),0.0(0.0),0.1029872875618605(0.1029872875618605),0.038672979996312(0.038672979996312),0.14629760624061686(0.14629760624061686),0.13421192120373546(0.13421192120373546),0.0(0.0),0.2269618639197163(0.2269618639197163),0.3325300878980197(0.3325300878980197),1.0(1.0),0.07019030343157177(0.07019030343157177)
Zach.Randolph,0.921997820198298(0.921997820198298),0.376221006961776(0.376221006961776),0.17546614113075845(0.17546614113075845),0.30094287401526637(0.30094287401526637),0.17123363606603761(0.17123363606603761),0.0(0.0),0.04513218178273085(0.04513218178273085),0.02988187575664619(0.02988187575664619),0.17504490205123496(0.17504490205123496),0.5258822055660074(0.5258822055660074),0.0(0.0),0.34828331430526144(0.34828331430526144),0.5001440514188622(0.5001440514188622),0.5815081987612444(0.5815081987612444),0.12820808670705197(0.12820808670705197)
Marc.Gasol,0.9065344701875373(0.9065344701875373),0.04590059877273734(0.04590059877273734),0.11056094506595678(0.11056094506595678),0.5913263547043752(0.5913263547043752),0.23332610827091704(0.23332610827091704),0.05703203907782498(0.05703203907782498),0.11356790553468245(0.11356790553468245),0.1266994913507713(0.1266994913507713),0.13339746476088626(0.13339746476088626),0.2852372709723654(0.2852372709723654),0.0(0.0),0.12485705609158898(0.12485705609158898),0.6056370495239153(0.6056370495239153),0.6242744415783392(0.6242744415783392),0.3037675687496359(0.3037675687496359)
Jahlil.Okafor,0.9061677796310487(0.9061677796310487),0.25105118652338376(0.25105118652338376),0.29155560344251324(0.29155560344251324),0.23926715209896277(0.23926715209896277),0.09196141490328652(0.09196141490328652),0.0(0.0),0.0(0.0),0.09158506752306529(0.09158506752306529),0.20447535121649532(0.20447535121649532),0.8073791001478176(0.8073791001478176),0.0(0.0),0.483050505821073(0.483050505821073),0.816127662597217(0.816127662597217),0.28457846537920384(0.28457846537920384),0.0(0.0)
Greg.Monroe,0.870753496929037(0.870753496929037),0.320178235777983(0.320178235777983),0.46009956607249775(0.46009956607249775),0.29730550086580776(0.29730550086580776),0.08799032750413757(0.08799032750413757),0.05424889701175398(0.05424889701175398),0.0(0.0),0.15552520727579427(0.15552520727579427),0.29497135510769057(0.29497135510769057),0.23753105568258234(0.23753105568258234),0.0(0.0),0.6654455775330628(0.6654455775330628),0.4747164836902952(0.4747164836902952),0.24104570372414597(0.24104570372414597),0.007244158985757314(0.007244158985757314)
Enes.Kanter,0.8448818036050798(0.8448818036050798),0.4732449844090568(0.4732449844090568),0.25084778738260655(0.25084778738260655),0.48241645975658853(0.48241645975658853),0.10249251437151498(0.10249251437151498),0.0(0.0),0.045893019061093124(0.045893019061093124),0.16862785733778182(0.16862785733778182),0.12059369561357691(0.12059369561357691),0.1475246395408083(0.1475246395408083),0.0(0.0),0.6533717386901137(0.6533717386901137),0.3346431697002725(0.3346431697002725),0.28761448378360543(0.28761448378360543),0.0677923520413961(0.0677923520413961)
Al.Horford,0.8047736642163712(0.8047736642163712),0.09625441786053272(0.09625441786053272),0.17125163828655826(0.17125163828655826),0.6334314026479291(0.6334314026479291),0.2802686608119918(0.2802686608119918),0.0(0.0),0.10707091014814336(0.10707091014814336),0.07214061732171292(0.07214061732171292),0.18167844094403068(0.18167844094403068),0.16005330619269437(0.16005330619269437),0.0(0.0),0.2207792199317553(0.2207792199317553),0.42096128078003686(0.42096128078003686),0.4791665615948413(0.4791665615948413),0.3972349515216072(0.3972349515216072)
Dwight.Howard,0.7894392347549443(0.7894392347549443),0.6116810383922536(0.6116810383922536),0.5291639363359947(0.5291639363359947),0.25897170624595967(0.25897170624595967),0.041855925158605214(0.041855925158605214),0.0(0.0),0.0(0.0),0.05974024514927235(0.05974024514927235),0.47872913050478405(0.47872913050478405),0.04444586958239743(0.04444586958239743),0.0(0.0),0.830312095222633(0.830312095222633),0.24310601638794785(0.24310601638794785),0.1537183323188311(0.1537183323188311),0.004289771387282186(0.004289771387282186)
Andre.Drummond,0.7770296187451641(0.7770296187451641),0.6449034315790743(0.6449034315790743),0.3855813030958663(0.3855813030958663),0.31255821334546807(0.31255821334546807),0.017344596346436123(0.017344596346436123),0.0(0.0),0.0(0.0),0.16982734920507073(0.16982734920507073),0.4012918131594473(0.4012918131594473),0.1388513507456167(0.1388513507456167),0.0(0.0),0.5495122923435711(0.5495122923435711),0.7533421235164149(0.7533421235164149),0.2090899751110213(0.2090899751110213),0.010102858305664349(0.010102858305664349)
