PLAYER_NAME,FGA,PTS,REB,AST,TOV,STL,BLK,PF
DeMarcus Cousins,21.4,28.0,12.0,3.4,4.0,1.6,1.5,3.8
Stephen Curry,21.3,31.7,5.7,7.0,3.5,2.3,0.2,2.1
James Harden,18.6,27.4,5.8,7.1,4.3,1.6,0.6,2.6
Damian Lillard,19.8,25.3,4.1,6.9,3.3,0.9,0.4,2.2
Kevin Durant,19.3,28.3,8.2,5.0,3.5,1.0,1.2,1.9
Anthony Davis,18.9,24.6,10.4,1.9,2.0,1.3,2.1,2.5
LeBron James,18.8,25.5,7.5,6.8,3.3,1.4,0.7,1.9
Carmelo Anthony,18.6,22.4,7.9,4.3,2.5,0.9,0.5,2.6
Russell Westbrook,18.9,24.6,8.2,10.9,4.5,2.1,0.3,2.6
Paul George,18.5,23.9,7.2,4.2,3.4,1.9,0.4,2.9
CJ McCollum,18.5,21.6,3.4,4.4,2.5,1.3,0.3,2.4
DeMar DeRozan,17.7,23.5,4.5,4.0,2.2,1.0,0.3,2.1
John Wall,17.4,19.8,4.9,10.2,4.1,1.9,0.8,2.1
Klay Thompson,18.7,23.9,4.1,2.2,1.9,0.8,0.7,2.1
Blake Griffin,18.5,23.0,9.0,5.2,2.6,0.9,0.5,2.9
Brandon Knight,17.2,19.6,3.9,5.1,3.4,1.2,0.4,2.4
Isaiah Thomas,18.8,24.8,3.3,6.9,3.0,1.2,0.1,2.3
Kobe Bryant,21.5,22.4,4.8,3.6,2.5,1.2,0.3,2.2
Kyrie Irving,19.0,22.5,3.4,5.4,2.7,1.2,0.4,2.3
Kemba Walker,16.6,21.1,4.5,5.3,2.1,1.6,0.5,1.4
Dwyane Wade,18.9,22.5,4.8,5.5,3.2,1.3,0.7,1.8
Nikola Vucevic,18.5,20.9,10.2,3.2,2.2,0.9,1.2,3.1
Andrew Wiggins,16.4,21.2,3.7,2.1,2.3,1.0,0.6,2.1
Derrick Rose,18.0,18.5,3.9,5.3,3.0,0.8,0.2,1.4
Eric Bledsoe,16.7,21.5,4.3,6.5,3.7,2.1,0.6,2.6
Brook Lopez,17.0,22.0,8.4,2.1,2.6,0.8,1.8,3.2
Reggie Jackson,18.5,22.1,3.8,7.3,3.3,0.9,0.2,2.8
Kyle Lowry,15.1,20.6,4.6,6.2,2.8,2.0,0.4,2.7
Jimmy Butler,15.1,20.4,5.2,4.7,1.9,1.6,0.6,1.8
Kawhi Leonard,16.5,23.0,7.5,2.8,1.6,1.9,1.1,2.0
Chris Paul,16.6,21.5,4.6,11.0,2.9,2.3,0.2,2.8
Gordon Hayward,15.0,19.6,4.9,3.7,2.5,1.2,0.3,2.3
Dirk Nowitzki,16.9,20.9,7.4,2.0,1.3,0.8,0.8,2.5
Jahlil Okafor,17.7,21.0,8.4,1.5,2.8,0.5,1.4,3.2
Bradley Beal,16.8,20.2,4.0,3.4,2.4,1.1,0.2,2.5
Khris Middleton,14.4,18.1,3.8,4.2,2.3,1.7,0.2,2.6
Chris Bosh,15.5,20.5,7.9,2.6,1.6,0.7,0.7,2.0
Rudy Gay,15.2,18.2,6.9,1.8,2.1,1.5,0.8,2.8
Jrue Holiday,18.4,21.4,3.8,7.7,3.3,1.7,0.4,2.9
LaMarcus Aldridge,16.6,21.2,10.1,1.8,1.6,0.6,1.3,2.4
Karl-Anthony Towns,15.8,20.6,11.7,2.2,2.5,0.8,1.9,3.4
Ryan Anderson,16.7,20.1,7.1,1.3,1.6,0.7,0.4,2.0
Jordan Clarkson,15.5,17.3,4.4,2.7,1.9,1.2,0.1,2.4
Pau Gasol,15.6,18.6,12.5,4.6,2.6,0.7,2.3,2.3
Marc Gasol,14.2,17.3,7.3,3.9,2.4,1.0,1.4,2.8
Avery Bradley,14.5,16.4,3.1,2.2,1.5,1.7,0.3,2.3
Victor Oladipo,14.7,17.4,5.2,4.3,2.3,1.8,0.8,2.6
Zach Randolph,16.2,18.6,9.4,2.5,1.9,0.8,0.2,2.6
Emmanuel Mudiay,15.8,15.2,4.0,6.5,3.8,1.1,0.6,2.5
