PLAYER_NAME,0-2 Feet - Very Tight,2-4 Feet - Tight,4-6 Feet - Open,6+ Feet - Wide Open
DeMarcus Cousins,0.002,0.035,0.13,0.19
Stephen Curry,0.031,0.202,0.319,0.15
James Harden,0.028,0.281,0.263,0.073
Damian Lillard,0.043,0.209,0.302,0.098
Kevin Durant,0.054,0.355,0.229,0.081
Anthony Davis,0.018,0.126,0.243,0.115
LeBron James,0.013,0.108,0.219,0.091
Carmelo Anthony,0.048,0.325,0.278,0.074
Russell Westbrook,0.035,0.166,0.221,0.117
Paul George,0.054,0.298,0.287,0.123
CJ McCollum,0.049,0.237,0.277,0.138
DeMar DeRozan,0.049,0.284,0.188,0.052
John Wall,0.016,0.177,0.319,0.157
Klay Thompson,0.029,0.244,0.306,0.165
Blake Griffin,0.008,0.053,0.237,0.275
Brandon Knight,0.034,0.172,0.315,0.174
Isaiah Thomas,0.023,0.221,0.221,0.075
Kobe Bryant,0.057,0.448,0.244,0.076
Kyrie Irving,0.047,0.213,0.218,0.137
Kemba Walker,0.044,0.212,0.304,0.117
Dwyane Wade,0.012,0.244,0.186,0.034
Nikola Vucevic,0.004,0.109,0.191,0.165
Andrew Wiggins,0.052,0.191,0.185,0.089
Derrick Rose,0.029,0.207,0.255,0.047
Eric Bledsoe,0.018,0.114,0.263,0.21
Brook Lopez,0.016,0.083,0.176,0.12
Reggie Jackson,0.044,0.176,0.242,0.084
Kyle Lowry,0.033,0.243,0.259,0.116
Jimmy Butler,0.05,0.228,0.216,0.08
Kawhi Leonard,0.025,0.216,0.302,0.128
Chris Paul,0.016,0.238,0.359,0.162
Gordon Hayward,0.031,0.146,0.268,0.191
Dirk Nowitzki,0.049,0.373,0.266,0.184
Jahlil Okafor,0.014,0.114,0.168,0.017
Bradley Beal,0.029,0.158,0.277,0.212
Khris Middleton,0.064,0.361,0.233,0.089
Chris Bosh,0.007,0.17,0.305,0.217
Rudy Gay,0.03,0.156,0.17,0.134
Jrue Holiday,0.032,0.154,0.254,0.116
LaMarcus Aldridge,0.018,0.14,0.17,0.225
Karl-Anthony Towns,0.004,0.048,0.209,0.181
Ryan Anderson,0.014,0.135,0.308,0.226
Jordan Clarkson,0.04,0.17,0.25,0.114
Pau Gasol,0.01,0.099,0.231,0.216
Marc Gasol,0.011,0.099,0.232,0.214
Avery Bradley,0.038,0.255,0.288,0.168
Victor Oladipo,0.04,0.142,0.285,0.171
Zach Randolph,0.002,0.039,0.218,0.116
Emmanuel Mudiay,0.021,0.188,0.261,0.148
Danilo Gallinari,0.017,0.18,0.328,0.116
Thaddeus Young,0.001,0.035,0.118,0.068
Paul Millsap,0.01,0.081,0.17,0.16
Derrick Favors,0.007,0.079,0.221,0.116
Andre Drummond,0.007,0.042,0.013,0.005
Al Horford,0.005,0.029,0.176,0.359
Kevin Love,0.01,0.072,0.254,0.297
Giannis Antetokounmpo,0.005,0.053,0.134,0.125
Monta Ellis,0.026,0.215,0.275,0.145
Kentavious Caldwell-Pope,0.052,0.207,0.256,0.171
Tyreke Evans,0.003,0.086,0.169,0.153
Ish Smith,0.011,0.16,0.199,0.124
Nicolas Batum,0.055,0.284,0.293,0.179
Mike Conley,0.02,0.125,0.276,0.198
Jeff Teague,0.017,0.085,0.171,0.209
Rodney Hood,0.064,0.22,0.282,0.147
Kristaps Porzingis,0.025,0.177,0.247,0.187
Goran Dragic,0.021,0.148,0.255,0.123
Eric Gordon,0.013,0.107,0.292,0.284
