PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins,2.507,33.333,6.383,0.766,36.17,86.0
Stephen Curry,4.729,65.972,15.789,1.179,47.368,213.0
James Harden,3.715,55.263,22.989,0.954,40.23,161.0
Damian Lillard,6.589,48.131,8.8,0.944,39.2,158.0
Kevin Durant,2.185,59.677,10.0,1.25,55.0,221.0
Anthony Davis,0.981,75.0,0.0,1.5,64.286,235.0
LeBron James,1.886,64.063,5.714,1.257,54.286,227.0
Carmelo Anthony,2.592,51.282,6.977,0.977,46.512,173.0
Russell Westbrook,2.304,44.737,12.766,0.872,36.17,128.0
Paul George,5.34,38.068,8.738,0.796,33.01,100.0
CJ McCollum,7.8,46.639,7.463,0.903,39.552,139.0
DeMar DeRozan,4.201,45.455,10.39,0.987,49.351,177.0
John Wall,2.511,40.909,22.222,0.689,28.889,48.0
Klay Thompson,3.596,61.957,8.621,1.207,51.724,215.0
Blake Griffin,0,0,0,0,0,0
Brandon Knight,7.437,44.03,15.294,0.8,35.294,102.0
Isaiah Thomas,9.324,43.902,13.45,0.93,43.86,154.0
Kobe Bryant,6.935,34.667,11.828,0.763,31.183,84.0
Kyrie Irving,4.299,32.432,10.87,0.717,32.609,58.0
Kemba Walker,5.98,51.875,8.911,1.069,48.515,199.0
Dwyane Wade,4.403,37.5,10.145,0.783,39.13,93.0
Nikola Vucevic,0.894,36.364,0.0,0.727,36.364,63.0
Andrew Wiggins,6.701,50.526,8.621,1.0,46.552,179.0
Derrick Rose,3.552,38.462,13.043,0.652,32.609,32.0
Eric Bledsoe,2.655,43.333,11.111,0.778,38.889,90.0
Brook Lopez,0.731,50.0,9.091,0.909,45.455,144.0
Reggie Jackson,2.057,27.586,9.091,0.545,21.212,19.0
Kyle Lowry,5.463,50.0,6.742,1.079,46.067,201.0
Jimmy Butler,5.527,50.0,7.895,1.066,47.368,197.0
Kawhi Leonard,6.415,51.351,5.882,1.047,48.235,192.0
Chris Paul,3.257,50.0,10.638,0.957,44.681,164.0
Gordon Hayward,11.519,44.138,13.514,0.843,38.378,120.0
Dirk Nowitzki,0.761,50.0,20.0,0.8,40.0,102.0
Jahlil Okafor,0,0,0,0,0,0
