PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins,11.147,32.792,14.833,0.684,34.45,71.0
Stephen Curry,10.005,52.959,6.468,1.075,47.264,274.0
James Harden,24.167,43.372,10.247,0.926,41.519,216.0
Damian Lillard,17.238,45.962,5.505,1.012,46.177,259.0
Kevin Durant,14.91,48.815,9.89,0.989,46.52,248.0
Anthony Davis,8.69,35.377,8.871,0.677,34.677,69.0
LeBron James,19.073,41.065,7.345,0.853,40.678,171.0
Carmelo Anthony,23.689,45.283,7.125,0.952,47.328,234.0
Russell Westbrook,12.451,38.835,11.811,0.744,35.433,105.0
Paul George,13.997,37.081,11.111,0.807,38.148,146.0
CJ McCollum,11.35,45.93,8.205,0.867,40.513,185.0
DeMar DeRozan,16.148,39.823,6.757,0.919,46.284,213.0
John Wall,11.161,38.562,13.5,0.76,36.0,115.0
Klay Thompson,5.022,42.424,11.111,0.802,40.741,140.0
Blake Griffin,9.407,50.0,1.37,1.055,53.425,270.0
Brandon Knight,10.411,41.579,9.244,0.882,39.496,191.0
Isaiah Thomas,7.961,44.286,11.644,0.966,45.205,241.0
Kobe Bryant,19.91,28.855,3.745,0.712,33.333,85.0
Kyrie Irving,14.299,47.388,6.536,0.948,44.444,233.0
Kemba Walker,7.697,30.093,5.385,0.723,34.615,91.0
Dwyane Wade,10.976,37.241,9.884,0.715,36.047,87.0
Nikola Vucevic,7.154,51.923,4.545,1.034,52.273,265.0
Andrew Wiggins,10.225,38.043,6.215,0.853,43.503,171.0
Derrick Rose,9.73,43.204,12.698,0.817,40.476,155.0
Eric Bledsoe,13.127,37.121,11.236,0.798,39.326,135.0
Brook Lopez,6.578,42.5,6.061,0.929,46.465,219.0
Reggie Jackson,11.409,41.135,10.383,0.863,40.437,183.0
Kyle Lowry,9.761,44.958,11.95,0.931,43.396,222.0
Jimmy Butler,12.291,46.212,10.059,0.905,44.97,205.0
Kawhi Leonard,11.774,46.923,5.769,0.987,49.359,247.0
Chris Paul,15.246,44.211,5.909,0.914,40.455,209.0
Gordon Hayward,10.959,42.857,12.5,0.881,44.886,190.0
Dirk Nowitzki,4.642,50.0,6.557,1.066,54.098,273.0
Jahlil Okafor,18.985,45.033,9.626,0.866,45.455,184.0
Bradley Beal,5.955,51.02,10.345,1.017,46.552,260.0
Khris Middleton,11.134,48.462,8.696,0.963,47.826,239.0
Chris Bosh,13.382,50.962,4.651,1.116,54.264,278.0
Rudy Gay,15.403,37.107,10.363,0.746,36.269,106.0
Jrue Holiday,8.779,46.512,7.619,0.971,42.857,242.0
LaMarcus Aldridge,1.172,40.0,13.333,0.933,46.667,223.0
Karl-Anthony Towns,6.639,59.639,5.208,1.188,57.292,283.0
Ryan Anderson,9.246,32.099,4.854,0.816,41.748,154.0
Jordan Clarkson,9.977,30.435,7.576,0.598,28.788,40.0
Pau Gasol,5.828,37.037,10.667,0.813,44.0,151.0
Marc Gasol,5.556,45.455,9.615,0.885,44.231,194.0
Avery Bradley,3.888,36.25,6.522,0.696,34.783,79.0
Victor Oladipo,7.259,44.737,5.618,0.955,41.573,236.0
Zach Randolph,15.823,42.905,6.857,0.886,44.571,196.0
Emmanuel Mudiay,6.656,25.373,8.642,0.543,27.16,30.0
Danilo Gallinari,18.885,33.088,7.104,0.847,42.077,168.0
Thaddeus Young,8.355,42.135,7.143,0.806,39.796,144.0
Paul Millsap,7.864,37.5,14.159,0.743,39.823,104.0
Derrick Favors,2.542,50.0,11.538,0.885,46.154,194.0
Andre Drummond,3.596,33.333,13.208,0.623,35.849,54.0
Al Horford,0,0,0,0,0,0
Kevin Love,3.331,41.892,2.381,0.929,45.238,217.0
Giannis Antetokounmpo,15.489,40.719,11.06,0.825,41.014,158.0
Monta Ellis,7.328,38.75,9.375,0.76,37.5,116.0
Kentavious Caldwell-Pope,4.987,35.556,8.621,0.81,36.207,147.0
Tyreke Evans,17.371,34.746,8.108,0.77,36.486,125.0
Ish Smith,10.727,46.0,19.355,0.742,35.484,102.0
Nicolas Batum,9.345,39.247,10.28,0.748,32.71,107.0
Mike Conley,6.422,52.128,8.929,1.018,48.214,261.0
Jeff Teague,13.945,42.466,12.299,0.834,41.176,164.0
Rodney Hood,8.699,54.396,4.854,1.078,48.544,275.0
Kristaps Porzingis,6.082,37.5,8.824,0.765,39.706,119.0
Goran Dragic,6.162,47.581,5.714,0.914,41.429,210.0
Eric Gordon,6.942,33.333,14.894,0.766,38.298,120.0
Will Barton,7.423,36.538,10.989,0.703,31.868,82.0
D'Angelo Russell,5.906,53.788,5.479,1.082,42.466,276.0
Greg Monroe,5.154,38.889,3.226,0.855,43.548,173.0
Deron Williams,11.045,46.354,9.821,0.875,41.964,187.0
Jamal Crawford,22.403,44.266,3.448,1.004,47.51,258.0
Marcus Morris,14.595,41.611,9.143,0.806,40.571,143.0
Jabari Parker,9.14,29.221,9.804,0.716,36.275,88.0
Evan Fournier,5.051,48.837,15.254,0.983,44.068,245.0
JJ Redick,2.493,37.5,7.692,0.846,42.308,167.0
Zach LaVine,8.208,44.118,5.102,0.918,40.816,212.0
Tobias Harris,10.843,30.556,6.667,0.756,37.778,112.0
Devin Booker,6.173,35.455,5.714,0.814,38.571,152.0
Arron Afflalo,8.789,50.0,3.659,1.037,47.561,267.0
Markieff Morris,5.382,31.25,5.263,0.684,36.842,71.0
Jarrett Jack,10.122,29.268,8.0,0.66,32.0,63.0
Serge Ibaka,1.749,18.75,11.111,0.333,16.667,8.0
Jae Crowder,2.1,27.5,0.0,0.667,28.571,64.0
J.R. Smith,12.752,36.161,1.667,0.733,35.833,97.0
Wesley Matthews,5.758,46.809,10.526,0.93,42.105,220.0
Rajon Rondo,7.394,40.972,11.905,0.75,34.524,108.0
Alec Burks,0,0,0,0,0,0
Norris Cole,3.761,36.364,0.0,0.727,31.818,93.0
Al Jefferson,0,0,0,0,0,0
Chandler Parsons,7.692,43.023,9.677,0.984,45.161,246.0
Robert Covington,4.113,37.5,18.421,0.605,26.316,48.0
Joe Johnson,11.364,60.714,17.143,1.029,45.714,263.0
Trevor Ariza,3.842,34.848,10.0,0.75,30.0,108.0
Darren Collison,11.133,44.444,11.712,0.901,45.946,201.0
DeMarre Carroll,5.882,21.429,0.0,0.632,36.842,57.0
Lou Williams,9.333,47.458,7.692,1.187,52.747,282.0
Julius Randle,21.787,37.113,11.715,0.72,36.82,89.0
Jeff Green,12.188,40.0,5.128,0.769,38.462,121.0
Michael Carter-Williams,11.78,47.619,14.13,0.902,47.826,204.0
