PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins,6.987,55.769,5.344,1.115,59.542,192.0
Stephen Curry,1.593,50.0,15.625,0.938,43.75,79.0
James Harden,1.238,37.5,10.345,0.724,37.931,18.0
Damian Lillard,0.949,52.941,0.0,1.167,50.0,212.0
Kevin Durant,1.256,61.111,8.696,1.174,60.87,217.0
Anthony Davis,6.447,65.854,2.174,1.337,67.391,277.0
LeBron James,3.61,62.295,1.493,1.299,64.179,270.0
Carmelo Anthony,4.159,56.14,1.449,1.159,62.319,211.0
Russell Westbrook,2.99,37.755,4.918,0.852,44.262,55.0
Paul George,1.97,66.667,7.895,1.316,63.158,272.0
CJ McCollum,1.222,55.263,4.762,1.095,52.381,179.0
DeMar DeRozan,1.2,55.556,9.091,1.091,54.545,173.0
John Wall,1.004,31.25,0.0,0.611,27.778,5.0
Klay Thompson,1.178,61.111,5.263,1.211,52.632,238.0
Blake Griffin,3.608,56.0,7.143,1.107,53.571,187.0
Brandon Knight,1.05,45.0,8.333,0.833,41.667,49.0
Isaiah Thomas,0.927,59.091,11.765,1.235,58.824,250.0
Kobe Bryant,1.939,60.417,7.692,1.115,53.846,193.0
Kyrie Irving,1.402,35.714,33.333,0.667,33.333,11.0
Kemba Walker,1.303,61.111,4.545,1.318,63.636,273.0
Dwyane Wade,3.765,58.824,3.39,1.22,61.017,243.0
Nikola Vucevic,9.512,52.778,3.419,1.085,52.991,167.0
Andrew Wiggins,4.448,58.333,9.091,1.091,57.143,173.0
Derrick Rose,2.162,36.957,10.714,0.75,35.714,27.0
Eric Bledsoe,0,0,0,0,0,0
Brook Lopez,9.9,52.893,5.369,1.094,55.705,178.0
Reggie Jackson,1.309,42.5,0.0,0.905,42.857,67.0
Kyle Lowry,1.166,46.875,10.526,0.895,42.105,62.0
Jimmy Butler,2.691,57.576,0.0,1.216,62.162,242.0
Kawhi Leonard,3.472,53.947,4.348,1.13,56.522,197.0
Chris Paul,0.97,72.727,0.0,1.571,71.429,294.0
Gordon Hayward,1.993,54.167,6.25,1.125,59.375,195.0
Dirk Nowitzki,2.664,50.0,2.857,1.086,54.286,168.0
Jahlil Okafor,8.528,68.116,5.952,1.298,65.476,269.0
Bradley Beal,1.437,38.462,0.0,0.786,42.857,37.0
Khris Middleton,1.314,22.222,0.0,0.579,26.316,3.0
Chris Bosh,3.008,59.524,3.448,1.207,65.517,237.0
Rudy Gay,6.385,48.592,7.5,0.938,46.25,79.0
Jrue Holiday,1.338,38.462,12.5,0.75,37.5,27.0
LaMarcus Aldridge,9.844,70.408,4.762,1.413,71.429,290.0
Karl-Anthony Towns,11.549,64.964,7.784,1.281,62.874,263.0
Ryan Anderson,9.425,47.727,7.619,0.952,48.571,95.0
Jordan Clarkson,3.25,47.222,6.977,1.0,48.837,107.0
Pau Gasol,8.702,50.515,5.357,1.009,50.893,126.0
Marc Gasol,3.205,40.909,10.0,0.767,43.333,34.0
Avery Bradley,1.86,73.684,9.091,1.364,68.182,283.0
Victor Oladipo,1.876,52.632,8.696,1.0,52.174,107.0
Zach Randolph,11.664,58.333,2.326,1.178,62.016,222.0
Emmanuel Mudiay,1.397,42.857,11.765,0.765,41.176,33.0
Danilo Gallinari,3.509,50.0,5.882,1.059,50.0,152.0
Thaddeus Young,8.781,48.913,6.796,0.913,45.631,72.0
Paul Millsap,5.846,53.333,13.095,1.024,53.571,132.0
Derrick Favors,8.602,64.789,2.273,1.307,69.318,271.0
Andre Drummond,23.27,58.923,4.665,1.079,55.394,163.0
Al Horford,0,0,0,0,0,0
Kevin Love,5.63,38.182,7.042,0.887,43.662,59.0
Giannis Antetokounmpo,5.996,62.838,2.381,1.226,63.095,245.0
Monta Ellis,1.374,64.706,5.556,1.222,61.111,244.0
Kentavious Caldwell-Pope,3.439,56.944,5.0,1.1,55.0,182.0
Tyreke Evans,2.347,55.556,10.0,1.0,50.0,107.0
Ish Smith,1.304,40.0,8.333,0.75,41.667,27.0
Nicolas Batum,2.183,64.583,0.0,1.28,64.0,262.0
Mike Conley,1.376,62.5,0.0,1.333,58.333,275.0
Jeff Teague,0,0,0,0,0,0
Rodney Hood,1.605,61.111,5.263,1.158,57.895,209.0
Kristaps Porzingis,7.245,61.207,7.407,1.235,64.198,249.0
Goran Dragic,2.289,68.182,11.538,1.231,61.538,246.0
Eric Gordon,0,0,0,0,0,0
Will Barton,3.263,47.143,2.5,1.025,50.0,134.0
D'Angelo Russell,2.023,35.714,12.0,0.68,32.0,13.0
Greg Monroe,14.131,56.164,3.529,1.153,58.824,207.0
Deron Williams,0,0,0,0,0,0
Jamal Crawford,0.944,63.636,0.0,1.273,63.636,257.0
Marcus Morris,4.337,48.837,1.923,1.038,53.846,139.0
Jabari Parker,6.272,61.404,7.143,1.2,61.429,231.0
Evan Fournier,1.455,53.846,5.882,1.176,58.824,219.0
JJ Redick,0,0,0,0,0,0
Zach LaVine,1.424,92.857,5.882,1.824,88.235,296.0
Tobias Harris,4.337,53.333,5.556,1.167,55.556,212.0
Devin Booker,1.058,70.833,0.0,1.417,66.667,291.0
Arron Afflalo,0,0,0,0,0,0
Markieff Morris,4.804,41.667,11.111,0.741,37.037,26.0
Jarrett Jack,0,0,0,0,0,0
Serge Ibaka,6.9,62.5,8.451,1.183,57.746,224.0
Jae Crowder,3.5,56.25,5.714,1.086,51.429,168.0
J.R. Smith,0,0,0,0,0,0
Wesley Matthews,1.111,55.556,9.091,1.091,45.455,173.0
Rajon Rondo,2.465,50.0,14.286,0.893,46.429,61.0
Alec Burks,0,0,0,0,0,0
Norris Cole,0,0,0,0,0,0
Al Jefferson,0,0,0,0,0,0
Chandler Parsons,1.613,25.0,7.692,0.462,23.077,2.0
Robert Covington,3.896,52.941,0.0,1.111,55.556,188.0
Joe Johnson,1.429,25.0,9.091,0.636,36.364,7.0
Trevor Ariza,3.074,44.0,9.375,0.813,40.625,44.0
Darren Collison,1.003,50.0,30.0,1.0,50.0,107.0
DeMarre Carroll,4.334,46.154,0.0,1.0,50.0,107.0
Lou Williams,1.538,69.231,6.667,1.4,60.0,287.0
Julius Randle,10.392,52.525,3.509,1.096,53.509,180.0
Jeff Green,3.438,63.636,0.0,1.273,63.636,257.0
Michael Carter-Williams,2.945,40.0,4.348,0.739,39.13,25.0
Michael Beasley,7.171,64.706,0.0,1.278,66.667,261.0
Marcin Gortat,10.725,53.846,6.667,1.01,51.429,127.0
Luol Deng,6.915,64.815,1.587,1.349,66.667,279.0
Gary Harris,1.974,60.714,11.111,1.111,55.556,188.0
Draymond Green,7.055,46.835,0.0,0.965,50.0,103.0
Elfrid Payton,4.073,68.75,10.0,1.275,62.5,260.0
Jared Sullinger,12.513,54.902,5.691,1.081,56.911,164.0
George Hill,2.442,63.158,0.0,1.318,63.636,273.0
Trey Burke,0,0,0,0,0,0
CJ Miles,2.372,38.462,0.0,1.056,55.556,149.0
Tony Parker,0,0,0,0,0,0
Mirza Teletovic,3.983,65.714,2.703,1.351,64.865,280.0
Dennis Schroder,0,0,0,0,0,0
Kent Bazemore,1.512,46.154,0.0,1.0,50.0,107.0
Otto Porter,7.143,61.765,5.0,1.183,60.0,225.0
Jose Juan Barea,0,0,0,0,0,0
Harrison Barnes,3.61,52.381,7.407,1.148,55.556,205.0
Bojan Bogdanovic,1.844,69.231,11.765,1.235,58.824,250.0
Isaiah Canaan,0,0,0,0,0,0
TJ Warren,8.946,47.619,0.0,1.0,51.111,107.0
Marco Belinelli,0,0,0,0,0,0
Kenneth Faried,21.253,52.632,4.046,1.052,53.179,147.0
Evan Turner,2.302,42.105,8.696,0.826,43.478,48.0
Jeremy Lin,0,0,0,0,0,0
Hassan Whiteside,20.459,63.946,7.143,1.189,62.755,227.0
Nikola Mirotic,4.551,66.667,0.0,1.361,69.444,282.0
Marvin Williams,9.018,55.072,6.329,1.076,53.165,160.0
Matt Barnes,6.221,50.0,7.407,1.019,48.148,130.0
Dion Waiters,1.116,50.0,0.0,1.0,50.0,107.0
Omri Casspi,4.551,54.545,2.778,1.167,55.556,212.0
Ersan Ilyasova,21.505,39.394,5.0,0.825,45.0,47.0
Jonas Valanciunas,20.253,48.387,2.083,1.014,52.083,128.0
Marcus Thornton,3.4,60.0,0.0,1.294,64.706,268.0
Myles Turner,6.801,59.459,2.273,1.25,63.636,252.0
Hollis Thompson,4.183,48.276,9.091,0.909,42.424,69.0
Al-Farouq Aminu,0,0,0,0,0,0
Nerlens Noel,12.793,58.824,7.339,1.083,55.046,165.0
Sean Kilpatrick,0,0,0,0,0,0
Enes Kanter,21.725,60.116,5.882,1.196,60.294,229.0
Marcus Smart,6.735,44.872,2.174,0.957,50.0,97.0
Terrence Ross,0,0,0,0,0,0
Raymond Felton,0,0,0,0,0,0
Gerald Green,2.84,52.941,5.263,1.053,52.632,148.0
Dwight Howard,14.784,64.078,4.167,1.146,61.806,204.0
Jerryd Bayless,0,0,0,0,0,0
Patrick Beverley,3.444,73.913,0.0,1.44,72.0,292.0
Allen Crabbe,1.276,94.444,0.0,2.0,90.0,297.0
Shabazz Muhammad,9.408,61.765,1.235,1.272,64.198,256.0
Stanley Johnson,4.48,42.857,5.882,0.941,47.059,83.0
Gary Neal,0,0,0,0,0,0
Courtney Lee,2.245,57.143,36.364,0.727,36.364,19.0
Robin Lopez,22.503,60.674,4.082,1.184,59.184,226.0
Kelly Olynyk,6.579,41.667,4.444,0.8,40.0,38.0
Alex Len,12.715,45.556,5.405,0.946,49.55,90.0
Shelvin Mack,0,0,0,0,0,0
Doug McDermott,4.017,48.214,0.0,1.0,48.276,107.0
Luis Scola,8.227,43.75,5.172,0.931,48.276,78.0
Jameer Nelson,0,0,0,0,0,0
O.J. Mayo,0,0,0,0,0,0
Jerami Grant,6.047,43.59,3.846,0.904,48.077,66.0
Jeremy Lamb,4.69,57.143,0.0,1.179,57.143,223.0
Ricky Rubio,0,0,0,0,0,0
Austin Rivers,0,0,0,0,0,0
Kyle Korver,0,0,0,0,0,0
Rodney Stuckey,0,0,0,0,0,0
Patty Mills,0,0,0,0,0,0
Jusuf Nurkic,15.339,31.111,1.923,0.654,34.615,10.0
Kevin Martin,0,0,0,0,0,0
Jordan Hill,13.124,64.0,11.957,1.207,58.696,236.0
Nikola Jokic,13.654,62.222,6.481,1.204,60.185,234.0
Aaron Gordon,0,0,0,0,0,0
Manu Ginobili,0,0,0,0,0,0
Nik Stauskas,1.597,83.333,9.091,1.636,72.727,295.0
Wayne Ellington,1.587,61.111,10.0,1.1,50.0,182.0
Gerald Henderson,2.402,66.667,0.0,1.375,68.75,284.0
Mo Williams,0,0,0,0,0,0
Archie Goodwin,3.322,55.556,5.0,1.1,55.0,182.0
Tony Allen,10.982,40.741,9.091,0.803,40.909,42.0
Terrence Jones,8.779,48.529,7.317,0.951,46.341,94.0
Mario Chalmers,2.262,50.0,7.143,0.929,50.0,77.0
Cory Joseph,0,0,0,0,0,0
Tim Duncan,8.247,72.5,6.25,1.375,70.833,284.0
Toney Douglas,0,0,0,0,0,0
Ramon Sessions,0,0,0,0,0,0
Meyers Leonard,4.143,46.667,27.273,0.682,36.364,14.0
Langston Galloway,2.738,65.625,15.789,1.105,52.632,186.0
PJ Tucker,13.342,57.471,6.931,1.129,55.446,196.0
Danny Green,3.04,57.895,5.0,1.1,55.0,182.0
Gorgui Dieng,8.806,56.604,6.849,1.178,61.644,221.0
Derrick Williams,3.769,60.0,0.0,1.286,64.286,266.0
Bobby Portis,16.667,45.455,2.326,0.942,47.674,86.0
Darrell Arthur,7.785,47.222,8.889,0.911,46.667,71.0
Jon Leuer,8.39,62.162,10.204,1.204,61.224,235.0
Carl Landry,12.141,65.625,2.632,1.342,68.421,278.0
Nick Young,0,0,0,0,0,0
Lance Stephenson,5.333,66.667,0.0,1.333,66.667,275.0
Taj Gibson,18.565,52.577,8.403,1.05,52.941,146.0
Aaron Brooks,0,0,0,0,0,0
Nene,3.486,42.857,10.526,0.842,47.368,51.0
Tyler Johnson,3.47,54.545,0.0,1.091,54.545,173.0
Matthew Dellavedova,0,0,0,0,0,0
Corey Brewer,2.315,30.769,6.25,0.75,37.5,27.0
Ben McLemore,1.836,55.556,9.091,1.0,54.545,107.0
E'Twaun Moore,2.637,54.545,8.333,1.0,50.0,107.0
DeAndre Jordan,17.396,50.0,3.871,0.961,51.613,100.0
Jason Smith,4.584,56.522,14.815,1.0,48.148,107.0
Frank Kaminsky,4.784,62.963,0.0,1.355,67.742,281.0
Lance Thomas,3.901,55.556,0.0,1.158,52.632,209.0
Wesley Johnson,2.222,27.273,7.692,0.692,30.769,15.0
Joffrey Lauvergne,9.636,60.0,8.889,1.133,55.556,199.0
Shane Larkin,0,0,0,0,0,0
Josh Smith,4.959,60.0,0.0,1.167,66.667,212.0
Marreese Speights,10.702,35.714,1.639,0.738,37.705,24.0
JaMychal Green,17.981,50.0,0.877,1.009,51.754,125.0
Garrett Temple,2.412,57.143,6.667,1.067,53.333,156.0
Brandon Jennings,0,0,0,0,0,0
Ian Mahinmi,9.063,62.0,6.78,1.203,59.322,233.0
Mason Plumlee,11.436,53.623,14.894,0.947,48.936,91.0
Jose Calderon,0,0,0,0,0,0
Patrick Patterson,8.566,46.512,6.122,0.939,46.939,82.0
Zaza Pachulia,15.084,46.914,10.185,0.917,49.074,73.0
PJ Hairston,3.774,25.0,16.667,0.667,33.333,11.0
David Lee,10.672,52.174,7.407,0.963,51.852,101.0
Luke Babbitt,6.627,47.5,4.545,0.909,45.455,69.0
Mike Dunleavy,0,0,0,0,0,0
Andrea Bargnani,6.422,38.889,9.524,0.81,38.095,43.0
Jared Dudley,2.956,66.667,22.222,1.0,55.556,107.0
Greivis Vasquez,0,0,0,0,0,0
Cody Zeller,10.379,66.667,3.175,1.27,66.667,255.0
Justise Winslow,7.541,55.0,4.348,1.065,56.522,155.0
Randy Foye,0,0,0,0,0,0
Paul Pierce,0,0,0,0,0,0
Devin Harris,0,0,0,0,0,0
