name,Post-Up,Putbacks,Cut,P&R Roll Man,Spot-Up,Handoff,Offscreen,Transition,Miscellaneous,Isolation,P&R Ball Handler,Restricted Area,Paint Area,Mid Range,3P
Jusuf.Nurkic,0.354838699,0.149769589,0.140552998,0.145161286,0.02764977,0,0,0.062211983,0.11981567,0,0,0.698501885,0.191011235,0.108614229,0.001872659
LaMarcus.Aldridge,0.330151141,0.094669849,0.065234683,0.19252187,0.163086712,0,0.034208432,0.039777249,0.046141606,0.034208432,0,0.24404195,0.159199238,0.543374658,0.053384174
Zach.Randolph,0.327160507,0.134920642,0.069664903,0.117283948,0.113756612,0,0.014991182,0.037037037,0.051146384,0.134038806,0,0.353734434,0.231327802,0.317427397,0.097510375
Marc.Gasol,0.321673512,0.016460905,0.043895748,0.230452672,0.155006856,0.010973937,0.037722908,0.067215361,0.043895748,0.072702333,0,0.151724145,0.27672413,0.340517253,0.231034487
Jahlil.Okafor,0.321543396,0.090032153,0.115755625,0.093247585,0.061093248,0,0,0.056270096,0.056270096,0.205787778,0,0.475583851,0.36730361,0.157112524,0
Greg.Monroe,0.308977038,0.114822544,0.182672232,0.115866385,0.058455113,0.010438413,0,0.076200418,0.072025053,0.060542796,0,0.640495896,0.220385671,0.133608818,0.005509642
Enes.Kanter,0.29979676,0.169715449,0.099593498,0.18800813,0.068089433,0,0.015243903,0.080284551,0.041666668,0.037601627,0,0.629579365,0.160108551,0.158751696,0.05156038
Al.Horford,0.28556484,0.034518827,0.067991629,0.24686192,0.186192468,0,0.035564855,0.050209206,0.052301254,0.04079498,0,0.238451928,0.197253436,0.262172282,0.302122355
Dwight.Howard,0.280123591,0.219361484,0.210092694,0.100926876,0.027806384,0,0,0.046343975,0.104016475,0.011328528,0,0.789559543,0.120717779,0.086460032,0.003262643
Andre.Drummond,0.275720179,0.231275722,0.153086424,0.121810697,0.011522634,0,0,0.080658436,0.090534978,0.035390947,0,0.535675108,0.340285391,0.11635565,0.007683864
Brook.Lopez,0.270847231,0.060040027,0.060707137,0.167444959,0.210140094,0.016010674,0.043362241,0.063375585,0.048032023,0.060040027,0,0.272184312,0.282423198,0.115187712,0.330204785
Hassan.Whiteside,0.263487101,0.201720089,0.183737293,0.159499615,0.030492572,0,0,0.03831118,0.077404223,0.045347929,0,0.507708132,0.336073995,0.156217888,0
Karl-Anthony.Towns,0.256589562,0.110812262,0.060247444,0.195266277,0.113501884,0,0.058095749,0.069392145,0.053254437,0.082840234,0,0.413793117,0.208924949,0.192021638,0.185260311
Taj.Gibson,0.254060328,0.107888632,0.171693742,0.168213457,0.119489558,0,0,0.074245937,0.060324825,0.044083528,0,0.469675601,0.260930896,0.251057833,0.018335683
Jonas.Valanciunas,0.244173139,0.194228634,0.159822419,0.208657041,0.04217536,0,0,0.038845725,0.083240844,0.028856825,0,0.512820542,0.249287754,0.235042736,0.002849003
Kevin.Love,0.234601453,0.084239133,0.039855074,0.123188406,0.239130437,0,0.061594203,0.101449274,0.059782609,0.056159422,0,0.226066902,0.140715107,0.183391005,0.449826986
Steven.Adams,0.232279167,0.176663026,0.17884405,0.239912763,0,0,0,0.081788443,0.090512544,0,0,0.625954211,0.332824439,0.039694656,0.001526718
Nikola.Vucevic,0.226973683,0.09375,0.096217103,0.234375,0.149671048,0.008223685,0.011513158,0.064144738,0.059210528,0.055921052,0,0.236663431,0.254122198,0.435499519,0.073714837
Dirk.Nowitzki,0.21635884,0.019788919,0.026385223,0.28364116,0.250659645,0,0.05408971,0.073878631,0.038258575,0.036939315,0,0.069321536,0.089970499,0.532448351,0.308259577
DeMarcus.Cousins,0.211538464,0.054655872,0.0298583,0.151821867,0.188765183,0.007591093,0.038967613,0.082995951,0.063765183,0.154352233,0.015688259,0.405726254,0.16061452,0.180167601,0.25349161
Nikola.Jokic,0.209386274,0.127256319,0.147111908,0.154332131,0.110108301,0,0.014440433,0.077617325,0.098375455,0.061371841,0,0.416861832,0.230679154,0.189695552,0.162763461
Marcin.Gortat,0.207058817,0.143529415,0.300000012,0.228235289,0,0,0,0.041176472,0.079999998,0,0,0.558692396,0.276374429,0.163447246,0.001485884
Timofey.Mozgov,0.205542728,0.101616628,0.214780599,0.147806004,0.085450344,0,0.050808314,0.07159353,0.099307157,0.023094688,0,0.493902445,0.213414639,0.289634138,0.00304878
Alex.Len,0.198449612,0.162790701,0.179844961,0.186046511,0.058914728,0,0,0.069767445,0.120930232,0.023255814,0,0.574514031,0.196544275,0.203023762,0.025917927
Pau.Gasol,0.19764398,0.085078537,0.090314135,0.265706807,0.204188481,0,0.015706806,0.06937173,0.05235602,0.019633507,0,0.256622523,0.220198676,0.350993365,0.172185436
Markieff.Morris,0.189530686,0.067689531,0.097472921,0.136281595,0.211191341,0.009025271,0.047833934,0.083935015,0.061371841,0.095667869,0,0.310461193,0.179977506,0.289088875,0.22047244
Blake.Griffin,0.189481825,0.05181748,0.061871618,0.148491874,0.15622583,0,0.026295437,0.141531318,0.044083528,0.107501931,0.072699152,0.409278363,0.140206188,0.335051537,0.11546392
Derrick.Favors,0.184158415,0.102970295,0.249504954,0.265346527,0.122772276,0,0,0.027722772,0.047524754,0,0,0.434052765,0.194244608,0.347721815,0.023980815
Boris.Diaw,0.181384251,0.042959426,0.06443914,0.112171836,0.362768501,0,0,0.062052507,0.06443914,0.050119333,0.05966587,0.406727821,0.152905196,0.192660555,0.247706428
Serge.Ibaka,0.181095406,0.074204944,0.071554773,0.219964668,0.227031797,0,0.02385159,0.110424027,0.054770317,0.037102472,0,0.165987775,0.195519343,0.315682292,0.32281059
Harrison.Barnes,0.177601054,0.019218026,0.042412195,0.082173623,0.148442671,0.007952286,0.145129219,0.057654075,0.034459908,0.244532809,0.040424123,0.20093824,0.228303358,0.39796716,0.172791243
Paul.Millsap,0.170619741,0.039020658,0.061208874,0.235654175,0.172149956,0,0.054322876,0.066564649,0.058148433,0.126243308,0.01606733,0.279835403,0.226337448,0.245884776,0.247942388
Carmelo.Anthony,0.166961655,0.028908554,0.02418879,0.024778761,0.151622415,0.030088495,0.056047197,0.077286139,0.041887905,0.230678469,0.167551622,0.138228938,0.079913609,0.478761703,0.303095758
Robin.Lopez,0.16407983,0.190687358,0.161862522,0.271618634,0.099778272,0.016629713,0,0.028824834,0.066518851,0,0,0.350967735,0.281290323,0.3651613,0.002580645
Domantas.Sabonis,0.160958901,0.037671234,0.09760274,0.219178081,0.291095883,0,0,0.133561641,0.037671234,0.022260275,0,0.32016632,0.180873185,0.16839917,0.33056134
Tarik.Black,0.15544042,0.227979273,0.251295328,0.225388601,0,0,0,0.06735751,0.07253886,0,0,0.755102038,0.190476194,0.047619049,0.006802721
Anthony.Davis,0.154508606,0.066362716,0.065349542,0.245187432,0.124113478,0.022796353,0.071935154,0.093211755,0.050151974,0.096757852,0.009625127,0.316513747,0.2208388,0.374836177,0.087811269
Shaun.Livingston,0.15345268,0,0.217391297,0,0.051150896,0.05882353,0.03836317,0.150895134,0.094629154,0.102301791,0.132992327,0.224683538,0.275316447,0.490506321,0.00949367
Trevor.Booker,0.147802934,0.097203732,0.121171772,0.177097201,0.15046604,0,0,0.175765648,0.061251663,0.06924101,0,0.516074479,0.213197976,0.138747886,0.131979689
Shabazz.Muhammad,0.141496599,0.074829929,0.115646258,0,0.289795905,0.021768708,0.01904762,0.234013602,0.034013607,0.046258502,0.023129251,0.387959868,0.202341139,0.167224079,0.242474914
Kosta.Koufos,0.138004243,0.150743097,0.397027612,0.152866244,0,0,0,0.065817408,0.074309982,0.021231422,0,0.510204077,0.446428567,0.040816326,0.00255102
Kristaps.Porzingis,0.137076795,0.065235339,0.087530963,0.157720894,0.219653174,0.015689513,0.085053675,0.098265894,0.041288193,0.079273328,0.013212222,0.225380704,0.169543147,0.28629443,0.318781734
