PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins,19.36,49.362,14.601,0.959,50.413,183.0
Stephen Curry,0,0,0,0,0,0
James Harden,4.782,42.045,10.714,0.911,43.75,159.0
Damian Lillard,0,0,0,0,0,0
Kevin Durant,8.138,60.87,8.054,1.235,61.745,222.0
Anthony Davis,18.36,35.938,11.832,0.782,40.84,81.0
LeBron James,10.614,47.771,12.69,0.893,45.178,151.0
Carmelo Anthony,22.242,42.96,9.485,0.921,47.696,166.0
Russell Westbrook,9.314,45.255,11.053,0.953,48.421,179.0
Paul George,3.37,26.19,18.462,0.631,33.846,36.0
CJ McCollum,0,0,0,0,0,0
DeMar DeRozan,8.456,37.719,10.323,0.852,43.871,123.0
John Wall,0.893,33.333,18.75,0.688,31.25,50.0
Klay Thompson,3.658,39.623,5.085,0.797,40.678,91.0
Blake Griffin,21.263,42.52,10.303,0.842,45.455,115.0
Brandon Knight,0,0,0,0,0,0
Isaiah Thomas,0,0,0,0,0,0
Kobe Bryant,13.646,40.625,4.372,0.852,43.169,125.0
Kyrie Irving,1.869,33.333,0.0,0.8,40.0,93.0
Kemba Walker,0,0,0,0,0,0
Dwyane Wade,10.53,41.045,7.879,0.855,43.636,126.0
Nikola Vucevic,28.293,50.175,10.632,0.928,47.701,169.0
Andrew Wiggins,12.016,48.276,10.096,1.0,51.923,189.0
Derrick Rose,0,0,0,0,0,0
Eric Bledsoe,1.622,33.333,9.091,0.545,27.273,21.0
Brook Lopez,29.767,50.617,16.071,0.951,47.545,177.0
Reggie Jackson,0,0,0,0,0,0
Kyle Lowry,1.842,30.435,10.0,0.733,36.667,67.0
Jimmy Butler,5.673,39.683,8.974,0.859,42.308,130.0
Kawhi Leonard,12.981,48.889,9.302,1.017,50.581,199.0
Chris Paul,1.386,52.941,0.0,1.2,60.0,219.0
Gordon Hayward,2.055,38.462,3.03,0.879,45.455,141.0
Dirk Nowitzki,29.604,46.474,6.941,1.021,50.129,200.0
Jahlil Okafor,31.98,46.862,15.873,0.851,43.175,122.0
Bradley Beal,0,0,0,0,0,0
Khris Middleton,8.091,44.792,12.821,0.855,41.88,127.0
Chris Bosh,8.61,40.984,13.253,0.843,43.373,116.0
Rudy Gay,10.535,49.038,10.606,0.955,49.242,181.0
Jrue Holiday,1.421,37.5,5.882,0.706,35.294,53.0
LaMarcus Aldridge,33.672,48.512,8.585,0.998,50.58,188.0
Karl-Anthony Towns,17.358,46.86,9.163,0.92,47.012,165.0
Ryan Anderson,17.504,49.682,9.231,1.005,50.256,197.0
Jordan Clarkson,0.756,28.571,20.0,0.6,30.0,28.0
Pau Gasol,20.668,40.488,13.534,0.805,40.226,98.0
Marc Gasol,40.171,41.304,11.968,0.888,44.681,148.0
Avery Bradley,0,0,0,0,0,0
Victor Oladipo,0,0,0,0,0,0
Zach Randolph,36.166,44.304,12.0,0.845,43.5,118.0
Emmanuel Mudiay,2.794,25.0,11.765,0.441,23.529,13.0
Danilo Gallinari,8.462,49.123,7.317,1.11,54.878,214.0
Thaddeus Young,15.942,50.0,10.695,0.925,46.524,168.0
Paul Millsap,16.006,51.829,11.739,1.039,52.174,204.0
Derrick Favors,22.581,44.324,10.39,0.857,44.589,128.0
Andre Drummond,27.476,39.583,8.395,0.726,38.025,60.0
Al Horford,0,0,0,0,0,0
Kevin Love,24.584,48.182,12.581,0.981,50.323,185.0
Giannis Antetokounmpo,8.137,48.718,23.684,0.798,40.351,92.0
Monta Ellis,0,0,0,0,0,0
Kentavious Caldwell-Pope,0,0,0,0,0,0
Tyreke Evans,0,0,0,0,0,0
Ish Smith,0,0,0,0,0,0
Nicolas Batum,4.978,41.026,21.053,0.737,38.596,70.0
Mike Conley,0,0,0,0,0,0
Jeff Teague,0.969,71.429,30.769,1.077,53.846,208.0
Rodney Hood,2.449,50.0,20.69,0.966,48.276,184.0
Kristaps Porzingis,15.027,40.458,12.5,0.821,41.071,100.0
Goran Dragic,0,0,0,0,0,0
Eric Gordon,0,0,0,0,0,0
Will Barton,0.816,14.286,30.0,0.2,10.0,1.0
D'Angelo Russell,6.149,42.308,9.211,0.934,48.684,171.0
Greg Monroe,33.832,45.338,12.776,0.862,44.472,133.0
Deron Williams,8.58,42.857,13.793,0.862,44.828,132.0
Jamal Crawford,0,0,0,0,0,0
Marcus Morris,13.762,46.617,4.242,0.988,52.121,186.0
Jabari Parker,7.079,48.276,8.861,1.0,53.165,189.0
Evan Fournier,0,0,0,0,0,0
JJ Redick,0,0,0,0,0,0
Zach LaVine,0,0,0,0,0,0
Tobias Harris,8.434,56.667,8.571,1.114,54.286,215.0
Devin Booker,3.263,50.0,2.703,1.108,59.459,213.0
Arron Afflalo,16.935,53.077,11.392,1.025,50.0,201.0
Markieff Morris,15.864,47.727,14.286,0.839,44.643,112.0
Jarrett Jack,0,0,0,0,0,0
Serge Ibaka,3.013,47.826,12.903,1.0,48.387,189.0
Jae Crowder,3.5,50.0,14.286,0.943,51.429,175.0
J.R. Smith,1.275,22.222,16.667,0.417,25.0,10.0
Wesley Matthews,9.899,44.304,10.204,0.898,44.898,154.0
Rajon Rondo,0,0,0,0,0,0
Alec Burks,0,0,0,0,0,0
Norris Cole,0,0,0,0,0,0
Al Jefferson,0,0,0,0,0,0
Chandler Parsons,3.102,52.632,20.0,0.84,44.0,113.0
Robert Covington,0,0,0,0,0,0
Joe Johnson,10.714,54.839,0.0,1.152,57.576,216.0
Trevor Ariza,0,0,0,0,0,0
Darren Collison,0,0,0,0,0,0
DeMarre Carroll,0,0,0,0,0,0
Lou Williams,0,0,0,0,0,0
Julius Randle,11.942,32.258,16.794,0.656,34.351,41.0
Jeff Green,12.813,35.484,12.195,0.732,39.024,66.0
Michael Carter-Williams,4.738,24.0,24.324,0.432,24.324,12.0
Michael Beasley,5.578,38.462,7.143,0.786,35.714,84.0
Marcin Gortat,15.628,46.774,9.804,0.895,45.752,153.0
Luol Deng,6.696,33.333,13.115,0.639,34.426,39.0
Gary Harris,0,0,0,0,0,0
Draymond Green,8.696,33.898,23.585,0.67,37.736,44.0
Elfrid Payton,0,0,0,0,0,0
Jared Sullinger,16.277,41.27,10.625,0.825,41.875,105.0
George Hill,1.221,37.5,18.182,0.727,36.364,62.0
Trey Burke,0,0,0,0,0,0
CJ Miles,0,0,0,0,0,0
Tony Parker,0,0,0,0,0,0
Mirza Teletovic,13.455,44.048,13.6,0.912,47.2,160.0
Dennis Schroder,0,0,0,0,0,0
Kent Bazemore,0,0,0,0,0,0
Otto Porter,1.31,33.333,9.091,0.636,36.364,37.0
Jose Juan Barea,0,0,0,0,0,0
Harrison Barnes,12.7,47.5,9.474,0.905,45.263,157.0
Bojan Bogdanovic,7.158,35.417,16.667,0.712,34.848,56.0
Isaiah Canaan,0,0,0,0,0,0
TJ Warren,0,0,0,0,0,0
Marco Belinelli,0,0,0,0,0,0
Kenneth Faried,11.548,49.315,12.766,0.936,47.872,172.0
Evan Turner,10.51,48.837,8.571,0.99,49.524,187.0
Jeremy Lin,0,0,0,0,0,0
Hassan Whiteside,21.921,45.342,18.095,0.786,38.571,84.0
Nikola Mirotic,11.125,40.323,11.364,0.83,44.318,106.0
Marvin Williams,4.338,58.065,7.895,1.158,55.263,217.0
Matt Barnes,2.304,25.0,25.0,0.45,25.0,14.0
Dion Waiters,0,0,0,0,0,0
Omri Casspi,1.264,50.0,10.0,1.2,60.0,219.0
Ersan Ilyasova,6.989,12.5,23.077,0.385,23.077,6.0
Jonas Valanciunas,27.426,47.682,15.385,0.867,44.103,134.0
Marcus Thornton,0,0,0,0,0,0
Myles Turner,21.948,42.276,8.451,0.845,41.549,119.0
Hollis Thompson,0,0,0,0,0,0
Al-Farouq Aminu,0,0,0,0,0,0
Nerlens Noel,10.211,40.0,19.54,0.678,37.931,46.0
Sean Kilpatrick,0,0,0,0,0,0
Enes Kanter,18.956,48.438,16.292,0.888,44.944,147.0
