PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins,1.173,50.0,13.636,1.0,50.0,270.0
Stephen Curry,26.182,61.071,14.068,1.11,44.297,283.0
James Harden,25.875,49.189,21.452,0.97,44.554,265.0
Damian Lillard,42.963,47.771,13.62,0.921,40.859,246.0
Kevin Durant,19.006,51.277,22.701,0.934,40.517,255.0
Anthony Davis,0,0,0,0,0,0
LeBron James,21.552,46.935,13.75,0.885,42.25,228.0
Carmelo Anthony,13.14,43.567,14.679,0.803,37.156,166.0
Russell Westbrook,35.392,47.709,19.945,0.85,40.582,205.0
Paul George,21.151,45.71,17.157,0.853,39.216,208.0
CJ McCollum,37.369,50.384,13.707,0.924,42.991,248.0
DeMar DeRozan,32.351,48.315,10.793,0.992,49.747,269.0
John Wall,40.234,42.321,17.892,0.727,35.368,111.0
Klay Thompson,7.13,50.0,13.913,0.93,40.87,252.0
Blake Griffin,5.67,59.375,13.636,1.182,56.818,287.0
Brandon Knight,42.695,41.081,18.033,0.736,33.607,114.0
Isaiah Thomas,30.971,42.597,14.613,0.857,40.845,211.0
Kobe Bryant,20.955,45.853,15.302,0.836,36.655,191.0
Kyrie Irving,43.551,48.958,13.519,0.893,41.631,233.0
Kemba Walker,46.714,46.184,10.9,0.894,41.825,234.0
Dwyane Wade,34.844,44.212,14.835,0.846,43.407,201.0
Nikola Vucevic,0.894,33.333,18.182,0.545,27.273,32.0
Andrew Wiggins,18.891,40.574,11.315,0.847,42.202,204.0
Derrick Rose,43.475,44.85,12.256,0.842,41.385,198.0
Eric Bledsoe,38.201,52.632,17.761,0.973,44.015,266.0
Brook Lopez,0,0,0,0,0,0
Reggie Jackson,55.86,47.622,14.174,0.876,41.295,224.0
Kyle Lowry,35.727,45.981,16.151,0.863,40.206,214.0
Jimmy Butler,31.709,42.368,11.697,0.894,43.807,235.0
Kawhi Leonard,13.66,51.712,11.602,1.017,45.856,276.0
Chris Paul,51.906,50.331,12.55,0.941,44.459,258.0
Gordon Hayward,24.409,41.697,17.347,0.824,39.796,185.0
Dirk Nowitzki,0,0,0,0,0,0
Jahlil Okafor,0,0,0,0,0,0
Bradley Beal,29.466,46.087,15.679,0.812,37.282,173.0
Khris Middleton,18.05,44.221,18.391,0.782,37.548,150.0
Chris Bosh,1.141,37.5,9.091,0.909,45.455,243.0
Rudy Gay,7.023,56.818,15.909,1.034,50.0,277.0
Jrue Holiday,51.672,45.609,12.621,0.867,40.777,218.0
LaMarcus Aldridge,0,0,0,0,0,0
Karl-Anthony Towns,0,0,0,0,0,0
Ryan Anderson,2.334,47.619,11.538,0.923,38.462,247.0
Jordan Clarkson,35.979,45.692,11.555,0.868,42.647,219.0
Pau Gasol,0,0,0,0,0,0
Marc Gasol,0,0,0,0,0,0
Avery Bradley,13.525,41.544,13.125,0.75,34.375,125.0
Victor Oladipo,32.463,44.349,18.09,0.804,40.201,168.0
Zach Randolph,0,0,0,0,0,0
Emmanuel Mudiay,42.974,38.692,22.945,0.641,31.74,63.0
Danilo Gallinari,11.971,38.971,21.552,0.81,38.793,171.0
Thaddeus Young,2.131,60.0,12.0,1.0,52.0,270.0
Paul Millsap,1.461,40.0,28.571,0.81,42.857,170.0
Derrick Favors,0,0,0,0,0,0
Andre Drummond,0,0,0,0,0,0
Al Horford,0,0,0,0,0,0
Kevin Love,0,0,0,0,0,0
Giannis Antetokounmpo,9.993,47.938,21.429,0.814,40.714,175.0
Monta Ellis,38.321,43.193,14.343,0.779,37.251,148.0
Kentavious Caldwell-Pope,22.356,41.475,9.615,0.823,40.385,183.0
Tyreke Evans,38.967,47.177,16.867,0.843,38.554,199.0
Ish Smith,45.675,34.906,12.879,0.667,34.848,73.0
Nicolas Batum,22.707,50.904,29.231,0.785,35.0,151.0
Mike Conley,43.349,40.909,9.524,0.86,41.799,213.0
Jeff Teague,40.641,41.605,16.697,0.785,37.615,152.0
Rodney Hood,29.307,44.776,13.256,0.876,40.634,223.0
Kristaps Porzingis,1.163,30.0,15.385,0.615,30.769,52.0
Goran Dragic,37.94,46.429,19.722,0.789,38.747,154.0
Eric Gordon,26.44,53.516,19.553,0.95,41.341,259.0
Will Barton,23.98,47.38,13.946,0.891,42.177,232.0
D'Angelo Russell,38.269,42.075,20.085,0.715,34.461,104.0
Greg Monroe,0,0,0,0,0,0
Deron Williams,27.613,38.557,18.929,0.718,35.0,108.0
Jamal Crawford,29.614,40.842,13.043,0.817,37.681,176.0
Marcus Morris,12.26,38.889,13.605,0.714,35.374,103.0
Jabari Parker,6.004,38.679,13.433,0.701,37.313,94.0
Evan Fournier,21.832,43.182,14.902,0.804,38.039,167.0
JJ Redick,5.465,48.75,19.298,0.86,40.351,212.0
Zach LaVine,29.062,38.908,12.968,0.718,34.006,107.0
Tobias Harris,8.676,45.238,18.644,0.881,40.678,227.0
Devin Booker,26.808,43.722,17.763,0.799,37.5,161.0
Arron Afflalo,8.039,38.806,8.0,0.733,36.0,113.0
Markieff Morris,2.313,27.273,7.692,0.538,30.769,28.0
Jarrett Jack,43.927,46.0,21.198,0.829,39.631,187.0
Serge Ibaka,0,0,0,0,0,0
Jae Crowder,7.3,40.566,17.808,0.781,32.877,149.0
J.R. Smith,7.864,36.842,16.216,0.676,32.432,80.0
Wesley Matthews,9.192,39.103,10.989,0.736,32.967,115.0
Rajon Rondo,39.261,48.589,23.767,0.749,36.996,124.0
Alec Burks,0,0,0,0,0,0
Norris Cole,47.692,45.238,12.903,0.824,40.143,186.0
Al Jefferson,0,0,0,0,0,0
Chandler Parsons,18.61,52.252,17.333,0.887,42.0,230.0
Robert Covington,4.545,25.0,47.619,0.262,11.905,2.0
Joe Johnson,27.273,55.263,23.81,0.881,44.048,226.0
Trevor Ariza,7.109,40.0,22.973,0.635,28.378,60.0
Darren Collison,25.276,52.284,15.873,0.937,44.048,256.0
DeMarre Carroll,9.288,40.909,23.333,0.667,30.0,73.0
Lou Williams,43.692,46.975,12.911,1.014,46.948,275.0
Julius Randle,2.188,40.0,16.667,0.667,33.333,73.0
Jeff Green,6.25,53.333,15.0,0.95,50.0,260.0
Michael Carter-Williams,32.522,44.385,22.441,0.709,35.827,100.0
Michael Beasley,5.179,36.364,15.385,0.615,30.769,52.0
Marcin Gortat,0,0,0,0,0,0
Luol Deng,2.854,44.118,19.231,0.846,42.308,201.0
Gary Harris,10.417,43.333,14.737,0.8,38.947,162.0
Draymond Green,5.004,48.684,24.59,0.852,40.984,207.0
Elfrid Payton,34.827,40.0,19.298,0.678,35.38,81.0
Jared Sullinger,0,0,0,0,0,0
George Hill,28.746,40.888,11.969,0.792,35.907,158.0
Trey Burke,34.672,44.444,13.514,0.842,40.927,197.0
CJ Miles,7.115,36.957,9.259,0.704,31.481,95.0
Tony Parker,50.978,51.355,14.499,0.925,46.482,249.0
Mirza Teletovic,1.292,35.714,33.333,0.583,25.0,41.0
Dennis Schroder,54.354,39.928,19.366,0.71,34.859,101.0
Kent Bazemore,15.119,31.553,20.0,0.593,28.571,46.0
Otto Porter,9.881,43.919,9.639,0.819,39.759,177.0
Jose Juan Barea,52.846,48.361,14.945,0.87,38.901,220.0
Harrison Barnes,4.412,50.0,9.091,0.939,45.455,257.0
Bojan Bogdanovic,12.256,41.765,18.584,0.761,35.398,139.0
Isaiah Canaan,20.32,38.168,15.73,0.758,33.708,136.0
TJ Warren,10.338,44.186,7.692,0.865,46.154,215.0
Marco Belinelli,13.299,31.818,17.647,0.569,26.471,37.0
Kenneth Faried,0,0,0,0,0,0
Evan Turner,31.531,43.29,22.54,0.708,35.238,98.0
Jeremy Lin,32.709,41.702,18.072,0.789,38.253,155.0
Hassan Whiteside,0,0,0,0,0,0
Nikola Mirotic,2.781,25.0,40.909,0.318,13.636,7.0
Marvin Williams,2.055,46.154,16.667,0.833,44.444,189.0
Matt Barnes,5.3,44.595,17.391,0.739,32.609,118.0
Dion Waiters,25.446,37.921,15.351,0.689,33.772,88.0
Omri Casspi,4.425,34.783,25.714,0.543,25.714,31.0
Ersan Ilyasova,0,0,0,0,0,0
Jonas Valanciunas,0,0,0,0,0,0
Marcus Thornton,25.397,35.185,12.5,0.75,31.25,125.0
Myles Turner,0,0,0,0,0,0
Hollis Thompson,6.591,31.25,19.231,0.558,26.923,36.0
Al-Farouq Aminu,0,0,0,0,0,0
Nerlens Noel,0,0,0,0,0,0
Sean Kilpatrick,19.205,46.429,10.345,1.0,50.0,270.0
Enes Kanter,0,0,0,0,0,0
Marcus Smart,18.155,44.118,20.161,0.774,37.903,144.0
Terrence Ross,11.765,39.333,6.098,0.768,37.805,143.0
Raymond Felton,45.0,42.27,16.667,0.775,37.879,146.0
Gerald Green,7.324,46.25,14.286,0.837,38.776,194.0
Dwight Howard,0,0,0,0,0,0
Jerryd Bayless,21.101,44.118,18.261,0.791,39.13,157.0
Patrick Beverley,19.008,38.095,18.841,0.645,31.884,66.0
Allen Crabbe,9.184,37.692,5.556,0.75,37.5,125.0
Shabazz Muhammad,6.852,51.087,13.559,0.915,44.068,244.0
Stanley Johnson,21.739,35.6,20.606,0.618,29.091,55.0
Gary Neal,24.468,54.938,6.522,1.076,51.087,282.0
Courtney Lee,16.996,47.222,9.302,0.93,46.512,251.0
Robin Lopez,0,0,0,0,0,0
Kelly Olynyk,0,0,0,0,0,0
Alex Len,0,0,0,0,0,0
Shelvin Mack,35.63,40.455,22.667,0.673,32.0,79.0
Doug McDermott,3.601,64.286,11.538,1.192,53.846,288.0
Luis Scola,0,0,0,0,0,0
Jameer Nelson,47.028,41.085,25.275,0.665,29.121,72.0
O.J. Mayo,15.122,41.111,24.194,0.645,30.645,67.0
Jerami Grant,2.674,33.333,30.435,0.652,34.783,68.0
Jeremy Lamb,24.288,47.768,9.655,0.966,46.207,263.0
Ricky Rubio,40.696,36.304,24.332,0.69,35.561,89.0
Austin Rivers,33.28,46.45,12.857,0.852,41.429,206.0
Kyle Korver,6.787,52.632,18.367,0.918,40.816,245.0
Rodney Stuckey,31.507,37.05,13.043,0.761,37.5,138.0
Patty Mills,28.411,48.447,15.347,0.837,39.109,193.0
Jusuf Nurkic,0,0,0,0,0,0
Kevin Martin,9.091,12.5,10.0,0.4,20.0,11.0
Jordan Hill,0,0,0,0,0,0
Nikola Jokic,0,0,0,0,0,0
Aaron Gordon,0,0,0,0,0,0
Manu Ginobili,23.801,40.341,26.619,0.691,34.532,90.0
Nik Stauskas,15.53,35.135,23.364,0.598,28.972,47.0
Wayne Ellington,17.778,36.634,5.357,0.75,34.821,125.0
Gerald Henderson,18.168,37.745,9.917,0.719,36.364,109.0
Mo Williams,43.2,45.0,16.667,0.778,37.654,147.0
Archie Goodwin,25.914,35.417,24.359,0.622,32.051,56.0
Tony Allen,5.158,56.522,16.129,0.968,51.613,264.0
Terrence Jones,0,0,0,0,0,0
Mario Chalmers,32.609,40.0,20.0,0.867,40.0,217.0
Cory Joseph,46.214,46.125,12.994,0.879,45.763,225.0
Tim Duncan,0,0,0,0,0,0
Toney Douglas,37.184,42.69,12.621,0.791,33.495,156.0
Ramon Sessions,35.06,43.961,14.433,0.866,44.33,216.0
Meyers Leonard,0,0,0,0,0,0
Langston Galloway,17.435,39.394,11.57,0.744,35.537,120.0
PJ Tucker,6.605,44.444,18.0,0.84,40.0,196.0
Danny Green,4.407,31.579,27.586,0.552,27.586,35.0
Gorgui Dieng,0,0,0,0,0,0
Derrick Williams,5.114,33.929,15.789,0.737,34.211,116.0
Bobby Portis,0,0,0,0,0,0
Darrell Arthur,0,0,0,0,0,0
Jon Leuer,0,0,0,0,0,0
Carl Landry,0,0,0,0,0,0
Nick Young,16.55,41.129,5.634,0.887,36.62,231.0
Lance Stephenson,21.333,44.286,22.917,0.708,33.333,99.0
Taj Gibson,0,0,0,0,0,0
Aaron Brooks,0,0,0,0,0,0
Nene,0,0,0,0,0,0
Tyler Johnson,27.76,50.781,18.182,0.932,45.455,254.0
Matthew Dellavedova,46.677,41.703,21.192,0.682,31.457,83.0
Corey Brewer,4.631,38.889,40.625,0.5,25.0,23.0
Ben McLemore,8.18,30.882,28.571,0.469,22.449,19.0
E'Twaun Moore,24.835,43.939,10.619,0.796,38.053,160.0
DeAndre Jordan,0,0,0,0,0,0
Jason Smith,0,0,0,0,0,0
Frank Kaminsky,0,0,0,0,0,0
Lance Thomas,5.955,38.462,10.345,0.759,34.483,137.0
Wesley Johnson,2.051,36.364,8.333,0.75,33.333,125.0
Joffrey Lauvergne,0,0,0,0,0,0
Shane Larkin,46.983,39.787,22.324,0.673,32.722,78.0
Josh Smith,9.302,19.444,5.0,0.4,20.0,11.0
Marreese Speights,0,0,0,0,0,0
JaMychal Green,0,0,0,0,0,0
Garrett Temple,9.807,34.694,18.033,0.59,27.869,45.0
Brandon Jennings,37.736,32.759,18.75,0.613,27.5,50.0
Ian Mahinmi,0,0,0,0,0,0
Mason Plumlee,0,0,0,0,0,0
Jose Calderon,38.061,45.251,12.264,0.83,39.623,188.0
Patrick Patterson,0,0,0,0,0,0
Zaza Pachulia,0,0,0,0,0,0
PJ Hairston,8.176,13.043,11.538,0.231,11.538,1.0
David Lee,0,0,0,0,0,0
Luke Babbitt,6.928,50.0,4.348,1.043,52.174,278.0
Mike Dunleavy,5.702,25.0,7.692,0.462,23.077,17.0
Andrea Bargnani,0,0,0,0,0,0
Jared Dudley,0,0,0,0,0,0
Greivis Vasquez,31.915,35.526,31.667,0.55,25.0,34.0
Cody Zeller,0,0,0,0,0,0
