PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins,14.827,48.618,8.273,0.982,48.921,99.0
Stephen Curry,0.747,53.846,13.333,0.933,33.333,72.0
James Harden,0,0,0,0,0,0
Damian Lillard,0,0,0,0,0,0
Kevin Durant,5.462,55.422,7.0,1.08,51.0,145.0
Anthony Davis,24.667,52.196,4.545,1.06,51.989,138.0
LeBron James,3.61,71.429,5.97,1.358,67.164,209.0
Carmelo Anthony,1.748,41.667,0.0,0.966,48.276,93.0
Russell Westbrook,0,0,0,0,0,0
Paul George,1.14,47.5,4.545,1.0,36.364,106.0
CJ McCollum,0,0,0,0,0,0
DeMar DeRozan,0,0,0,0,0,0
John Wall,0,0,0,0,0,0
Klay Thompson,0.868,38.462,7.143,0.714,28.571,19.0
Blake Griffin,21.005,44.932,4.294,0.883,45.399,54.0
Brandon Knight,0,0,0,0,0,0
Isaiah Thomas,0,0,0,0,0,0
Kobe Bryant,0.895,45.455,8.333,0.833,33.333,38.0
Kyrie Irving,0,0,0,0,0,0
Kemba Walker,0,0,0,0,0,0
Dwyane Wade,0,0,0,0,0,0
Nikola Vucevic,18.374,49.5,9.292,0.934,46.018,73.0
Andrew Wiggins,2.831,46.154,6.122,1.041,46.939,131.0
Derrick Rose,0,0,0,0,0,0
Eric Bledsoe,0,0,0,0,0,0
Brook Lopez,21.196,49.097,6.27,0.987,48.903,102.0
Reggie Jackson,0,0,0,0,0,0
Kyle Lowry,0.737,68.182,0.0,1.417,58.333,214.0
Jimmy Butler,0.873,54.545,0.0,1.167,58.333,182.0
Kawhi Leonard,1.057,65.385,0.0,1.214,57.143,190.0
Chris Paul,0,0,0,0,0,0
Gordon Hayward,0.872,90.909,0.0,1.929,78.571,219.0
Dirk Nowitzki,18.569,52.036,4.918,1.033,43.852,123.0
Jahlil Okafor,13.096,53.704,8.527,1.015,51.938,120.0
Bradley Beal,0,0,0,0,0,0
Khris Middleton,1.729,37.5,0.0,0.84,36.0,41.0
Chris Bosh,24.378,54.103,5.106,1.106,50.638,160.0
Rudy Gay,4.948,39.286,3.226,0.823,38.71,33.0
Jrue Holiday,0,0,0,0,0,0
LaMarcus Aldridge,20.156,45.249,6.589,0.903,45.736,62.0
Karl-Anthony Towns,24.758,48.52,8.659,0.953,46.648,81.0
Ryan Anderson,15.081,51.429,5.952,1.065,45.833,139.0
Jordan Clarkson,0,0,0,0,0,0
Pau Gasol,21.212,49.784,6.227,0.993,50.916,104.0
Marc Gasol,22.115,53.714,6.763,1.087,53.623,151.0
Avery Bradley,0,0,0,0,0,0
Victor Oladipo,0,0,0,0,0,0
Zach Randolph,9.675,47.312,5.607,0.963,47.664,89.0
Emmanuel Mudiay,0,0,0,0,0,0
Danilo Gallinari,4.025,56.897,2.564,1.256,58.974,196.0
Thaddeus Young,18.073,56.183,8.491,1.042,51.887,134.0
Paul Millsap,17.954,50.239,9.302,0.973,43.798,96.0
Derrick Favors,22.092,54.891,6.637,1.106,55.31,159.0
Andre Drummond,13.161,62.338,6.186,1.103,57.732,157.0
Al Horford,0,0,0,0,0,0
Kevin Love,15.305,47.799,6.218,0.953,43.523,82.0
Giannis Antetokounmpo,2.498,44.643,11.429,0.829,40.0,35.0
Monta Ellis,0,0,0,0,0,0
Kentavious Caldwell-Pope,0,0,0,0,0,0
Tyreke Evans,0,0,0,0,0,0
Ish Smith,0,0,0,0,0,0
Nicolas Batum,0,0,0,0,0,0
Mike Conley,0,0,0,0,0,0
Jeff Teague,0,0,0,0,0,0
Rodney Hood,0,0,0,0,0,0
Kristaps Porzingis,13.685,58.661,9.15,1.072,47.712,141.0
Goran Dragic,0,0,0,0,0,0
Eric Gordon,0,0,0,0,0,0
Will Barton,0,0,0,0,0,0
D'Angelo Russell,0,0,0,0,0,0
Greg Monroe,10.806,59.804,13.077,1.069,53.846,140.0
Deron Williams,0,0,0,0,0,0
Jamal Crawford,0,0,0,0,0,0
Marcus Morris,4.254,44.444,7.843,0.824,39.216,34.0
Jabari Parker,4.928,32.609,7.273,0.727,36.364,21.0
Evan Fournier,0,0,0,0,0,0
JJ Redick,0,0,0,0,0,0
Zach LaVine,0,0,0,0,0,0
Tobias Harris,6.324,51.515,6.977,0.977,48.837,98.0
Devin Booker,0,0,0,0,0,0
Arron Afflalo,0,0,0,0,0,0
Markieff Morris,15.864,55.769,3.571,1.089,53.571,152.0
Jarrett Jack,0,0,0,0,0,0
Serge Ibaka,26.919,49.388,6.859,0.96,48.014,87.0
Jae Crowder,3.8,61.765,5.263,1.237,52.632,195.0
J.R. Smith,0,0,0,0,0,0
Wesley Matthews,1.313,30.0,7.692,0.692,30.769,15.0
Rajon Rondo,0,0,0,0,0,0
Alec Burks,0,0,0,0,0,0
Norris Cole,0,0,0,0,0,0
Al Jefferson,0,0,0,0,0,0
Chandler Parsons,1.241,37.5,10.0,0.9,40.0,61.0
Robert Covington,5.519,71.111,5.882,1.353,50.98,208.0
Joe Johnson,0,0,0,0,0,0
Trevor Ariza,1.345,46.154,7.143,0.857,28.571,46.0
Darren Collison,0,0,0,0,0,0
DeMarre Carroll,0,0,0,0,0,0
Lou Williams,0,0,0,0,0,0
Julius Randle,9.389,37.791,10.68,0.728,36.893,22.0
Jeff Green,3.338,42.105,8.696,0.783,39.13,29.0
Michael Carter-Williams,0,0,0,0,0,0
Michael Beasley,12.351,36.0,16.129,0.645,32.258,12.0
Marcin Gortat,23.085,61.538,5.31,1.212,60.177,189.0
Luol Deng,7.025,45.192,6.25,1.0,43.75,106.0
Gary Harris,0,0,0,0,0,0
Draymond Green,12.633,54.545,13.636,1.019,48.052,122.0
Elfrid Payton,0,0,0,0,0,0
Jared Sullinger,16.785,45.695,5.455,0.873,41.212,50.0
George Hill,0,0,0,0,0,0
Trey Burke,0,0,0,0,0,0
CJ Miles,2.503,36.111,0.0,0.842,31.579,42.0
Tony Parker,0,0,0,0,0,0
Mirza Teletovic,8.934,53.846,4.819,1.036,39.759,127.0
Dennis Schroder,0,0,0,0,0,0
Kent Bazemore,0,0,0,0,0,0
Otto Porter,2.619,65.0,4.545,1.273,59.091,198.0
Jose Juan Barea,0,0,0,0,0,0
Harrison Barnes,2.941,50.0,9.091,0.955,40.909,84.0
Bojan Bogdanovic,0,0,0,0,0,0
Isaiah Canaan,0,0,0,0,0,0
TJ Warren,0,0,0,0,0,0
Marco Belinelli,0,0,0,0,0,0
Kenneth Faried,16.216,61.165,6.818,1.129,59.091,171.0
Evan Turner,0,0,0,0,0,0
Jeremy Lin,0,0,0,0,0,0
Hassan Whiteside,20.772,70.0,6.533,1.342,67.337,206.0
Nikola Mirotic,7.585,54.808,8.333,1.033,38.333,125.0
Marvin Williams,14.84,57.025,3.846,1.131,46.154,174.0
Matt Barnes,3.341,64.583,10.345,1.207,48.276,188.0
Dion Waiters,0,0,0,0,0,0
Omri Casspi,2.781,41.667,4.545,0.864,40.909,48.0
Ersan Ilyasova,17.204,46.552,3.125,0.969,40.625,94.0
Jonas Valanciunas,14.205,60.0,3.96,1.267,63.366,197.0
Marcus Thornton,0,0,0,0,0,0
Myles Turner,27.821,41.72,4.444,0.839,43.889,40.0
Hollis Thompson,0,0,0,0,0,0
Al-Farouq Aminu,0,0,0,0,0,0
Nerlens Noel,18.427,53.043,15.924,0.936,49.045,75.0
Sean Kilpatrick,0,0,0,0,0,0
Enes Kanter,20.234,55.769,8.947,1.095,54.211,154.0
Marcus Smart,0,0,0,0,0,0
