PLAYER_NAME,DRIVE,CATCH_SHOOT,PULL_UP,PAINT_TOUCH,POST_TOUCH,ELBOW_TOUCH,FG3A
DeMarcus Cousins,0.221,0.166,0.044,0.17,0.21,0.059,0.156
Stephen Curry,0.173,0.239,0.352,0.043,0.05,0.023,0.556
James Harden,0.248,0.131,0.286,0.014,0.014,0.031,0.406
Damian Lillard,0.311,0.155,0.323,0.012,0.02,0.004,0.414
Kevin Durant,0.145,0.206,0.301,0.053,0.071,0.082,0.348
Anthony Davis,0.062,0.21,0.107,0.193,0.206,0.14,0.095
LeBron James,0.281,0.067,0.17,0.099,0.107,0.043,0.199
Carmelo Anthony,0.083,0.206,0.312,0.064,0.078,0.119,0.237
Russell Westbrook,0.302,0.047,0.298,0.013,0.021,0.009,0.236
Paul George,0.143,0.26,0.286,0.056,0.052,0.043,0.391
CJ McCollum,0.231,0.24,0.404,0.019,0.024,0.014,0.328
DeMar DeRozan,0.369,0.097,0.25,0.021,0.021,0.068,0.101
John Wall,0.226,0.146,0.342,0.01,0.01,0.01,0.243
Klay Thompson,0.113,0.466,0.176,0.086,0.09,0.05,0.467
Blake Griffin,0.164,0.248,0.107,0.14,0.145,0.136,0.032
Brandon Knight,0.224,0.168,0.378,0.015,0.015,0.02,0.39
Isaiah Thomas,0.342,0.153,0.23,0.009,0.009,0.018,0.337
Kobe Bryant,0.131,0.233,0.341,0.028,0.034,0.034,0.42
Kyrie Irving,0.332,0.133,0.347,0.015,0.015,0.02,0.296
Kemba Walker,0.268,0.182,0.321,0.014,0.01,0.005,0.367
Dwyane Wade,0.305,0.047,0.242,0.058,0.079,0.1,0.038
Nikola Vucevic,0.104,0.269,0.082,0.203,0.264,0.099,0.008
Andrew Wiggins,0.208,0.116,0.188,0.097,0.121,0.092,0.147
Derrick Rose,0.421,0.104,0.323,0.018,0.03,0.012,0.143
Eric Bledsoe,0.304,0.108,0.348,0.025,0.02,0.01,0.263
Brook Lopez,0.073,0.165,0.063,0.257,0.286,0.126,0.012
Reggie Jackson,0.399,0.096,0.324,0.011,0.011,0.005,0.27
Kyle Lowry,0.255,0.25,0.245,0.005,0.005,0.005,0.456
Jimmy Butler,0.239,0.115,0.22,0.12,0.139,0.038,0.199
Kawhi Leonard,0.175,0.236,0.264,0.052,0.061,0.042,0.267
Chris Paul,0.195,0.087,0.503,0.005,0.005,0.031,0.295
Gordon Hayward,0.264,0.223,0.228,0.025,0.03,0.036,0.341
Dirk Nowitzki,0.016,0.448,0.202,0.06,0.098,0.082,0.308
Jahlil Okafor,0.143,0.063,0.103,0.177,0.223,0.149,0.008
Bradley Beal,0.224,0.253,0.282,0.046,0.046,0.052,0.34
Khris Middleton,0.148,0.28,0.28,0.022,0.022,0.055,0.316
Chris Bosh,0.12,0.382,0.094,0.136,0.126,0.141,0.287
Rudy Gay,0.174,0.192,0.192,0.087,0.093,0.052,0.214
Jrue Holiday,0.411,0.071,0.357,0.024,0.024,0.042,0.277
LaMarcus Aldridge,0.033,0.228,0.117,0.244,0.294,0.089,0.015
Karl-Anthony Towns,0.071,0.235,0.066,0.202,0.224,0.142,0.078
Ryan Anderson,0.088,0.306,0.241,0.059,0.088,0.071,0.387
Jordan Clarkson,0.265,0.194,0.277,0.058,0.065,0.019,0.29
Pau Gasol,0.091,0.376,0.042,0.133,0.152,0.133,0.069
Marc Gasol,0.012,0.283,0.06,0.205,0.319,0.193,0.004
Avery Bradley,0.073,0.384,0.232,0.073,0.079,0.053,0.398
Victor Oladipo,0.195,0.22,0.277,0.05,0.063,0.038,0.288
Zach Randolph,0.085,0.131,0.072,0.157,0.209,0.059,0.029
Emmanuel Mudiay,0.266,0.18,0.328,0.023,0.039,0.023,0.257
Danilo Gallinari,0.2,0.241,0.123,0.082,0.092,0.031,0.342
Thaddeus Young,0.152,0.066,0.073,0.212,0.258,0.093,0.031
Paul Millsap,0.152,0.211,0.07,0.187,0.216,0.082,0.218
Derrick Favors,0.024,0.201,0.037,0.268,0.323,0.116,0.005
Andre Drummond,0.025,0.025,0.019,0.395,0.438,0.031,0.006
Al Horford,0.059,0.401,0.02,0.23,0.243,0.059,0.242
Kevin Love,0.063,0.413,0.075,0.113,0.175,0.025,0.45
Giannis Antetokounmpo,0.296,0.083,0.083,0.118,0.142,0.059,0.108
Monta Ellis,0.268,0.174,0.319,0.022,0.022,0.022,0.275
Kentavious Caldwell-Pope,0.159,0.269,0.248,0.055,0.055,0.034,0.383
Tyreke Evans,0.421,0.132,0.211,0.013,0.02,0.007,0.272
Ish Smith,0.405,0.087,0.302,0.016,0.016,0.008,0.174
Nicolas Batum,0.074,0.342,0.295,0.034,0.027,0.054,0.458
Mike Conley,0.314,0.163,0.301,0.033,0.026,0.033,0.309
Jeff Teague,0.408,0.14,0.229,0.013,0.019,0.013,0.281
Rodney Hood,0.228,0.303,0.303,0.007,0.021,0.028,0.462
Kristaps Porzingis,0.056,0.357,0.098,0.147,0.161,0.091,0.274
Goran Dragic,0.312,0.163,0.255,0.021,0.021,0.028,0.236
Eric Gordon,0.211,0.368,0.217,0.02,0.013,0.039,0.54
Will Barton,0.271,0.208,0.201,0.035,0.042,0.021,0.33
D'Angelo Russell,0.174,0.25,0.333,0.045,0.061,0.023,0.386
Greg Monroe,0.046,0.059,0.007,0.314,0.359,0.105,0.001
Deron Williams,0.291,0.27,0.255,0.021,0.028,0.028,0.365
