PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins,16.427,46.64,9.091,0.909,40.909,181.0
Stephen Curry,9.059,75.749,3.846,1.495,54.396,428.0
James Harden,8.155,64.118,4.188,1.267,47.644,415.0
Damian Lillard,8.013,62.411,3.947,1.23,44.079,406.0
Kevin Durant,11.032,56.354,4.455,1.129,42.574,378.0
Anthony Davis,13.034,47.337,4.301,0.952,43.548,223.0
LeBron James,6.681,50.45,5.645,1.0,39.516,268.0
Carmelo Anthony,11.453,50.552,2.632,1.0,37.895,268.0
Russell Westbrook,6.912,46.983,14.184,0.844,34.043,134.0
Paul George,11.249,56.923,5.53,1.106,42.396,361.0
CJ McCollum,14.785,55.858,2.756,1.102,41.339,357.0
DeMar DeRozan,10.638,50.0,7.692,0.995,41.538,267.0
John Wall,12.835,50.465,4.348,1.009,36.087,284.0
Klay Thompson,17.049,59.423,2.909,1.178,43.273,398.0
Blake Griffin,13.273,39.109,1.942,0.767,37.864,83.0
Brandon Knight,13.998,56.122,5.0,1.087,41.25,348.0
Isaiah Thomas,13.304,51.826,3.689,1.078,42.623,345.0
Kobe Bryant,12.677,48.101,2.941,0.982,37.647,254.0
Kyrie Irving,10.654,47.706,1.754,0.965,37.719,238.0
Kemba Walker,13.973,57.727,2.966,1.144,42.373,386.0
Dwyane Wade,7.275,45.408,3.509,0.974,47.368,248.0
Nikola Vucevic,13.415,49.363,3.03,0.97,48.485,243.0
Andrew Wiggins,9.879,49.658,7.602,0.953,39.181,225.0
Derrick Rose,16.68,48.205,6.019,0.94,38.426,215.0
Eric Bledsoe,12.242,43.382,10.843,0.843,34.94,131.0
Brook Lopez,8.505,41.589,9.375,0.805,40.625,107.0
Reggie Jackson,8.167,57.874,1.527,1.168,43.511,394.0
Kyle Lowry,15.715,61.644,8.203,1.156,44.141,390.0
Jimmy Butler,10.618,41.732,2.055,0.959,39.726,231.0
Kawhi Leonard,23.472,63.462,3.859,1.251,49.518,413.0
Chris Paul,6.237,58.721,3.333,1.156,42.222,389.0
Gordon Hayward,19.489,51.504,7.987,0.994,40.575,265.0
Dirk Nowitzki,22.222,46.953,2.055,0.938,36.986,214.0
Jahlil Okafor,4.569,46.97,13.333,0.911,46.667,188.0
Bradley Beal,13.244,57.563,3.876,1.14,44.186,381.0
Khris Middleton,16.39,52.315,3.797,1.059,41.35,329.0
Chris Bosh,26.971,47.034,3.846,0.931,39.615,204.0
Rudy Gay,19.473,46.262,6.557,0.91,38.525,185.0
Jrue Holiday,8.612,44.886,8.738,0.893,38.835,169.0
LaMarcus Aldridge,15.625,41.848,4.0,0.865,42.5,153.0
Karl-Anthony Towns,11.065,56.419,5.0,1.094,49.375,354.0
Ryan Anderson,20.108,49.242,7.143,0.946,38.393,220.0
Jordan Clarkson,13.605,53.254,3.333,1.05,39.444,319.0
Pau Gasol,20.202,50.0,4.231,1.0,46.154,268.0
Marc Gasol,10.47,37.363,6.122,0.704,34.694,55.0
Avery Bradley,20.287,54.386,3.333,1.067,39.583,333.0
Victor Oladipo,17.537,50.0,2.791,1.019,36.744,297.0
Zach Randolph,10.036,41.429,2.703,0.847,40.541,139.0
Emmanuel Mudiay,14.955,40.549,6.044,0.78,31.319,93.0
Danilo Gallinari,21.259,46.389,3.883,0.961,38.835,235.0
Thaddeus Young,9.292,38.298,6.422,0.734,36.697,67.0
Paul Millsap,19.415,44.934,10.036,0.878,39.068,157.0
Derrick Favors,10.655,30.769,0.917,0.642,33.028,34.0
Andre Drummond,1.493,28.571,9.091,0.636,40.909,32.0
Al Horford,0,0,0,0,0,0
Kevin Love,26.328,53.63,4.819,1.063,38.554,331.0
Giannis Antetokounmpo,16.488,41.878,7.359,0.835,38.961,128.0
Monta Ellis,14.656,50.862,5.208,1.005,39.583,281.0
Kentavious Caldwell-Pope,25.537,47.556,7.744,0.899,35.69,175.0
Tyreke Evans,11.268,59.302,0.0,1.229,50.0,405.0
Ish Smith,15.225,51.25,6.818,1.0,43.182,268.0
Nicolas Batum,13.275,48.582,5.263,0.934,34.868,210.0
Mike Conley,12.5,53.333,1.835,1.064,38.532,332.0
Jeff Teague,10.291,72.764,7.971,1.348,50.0,422.0
Rodney Hood,28.547,55.466,4.734,1.089,40.533,350.0
Kristaps Porzingis,24.776,40.588,4.693,0.812,32.852,111.0
Goran Dragic,15.757,54.14,8.38,1.0,40.223,268.0
Eric Gordon,27.622,52.825,3.209,1.059,37.968,326.0
Will Barton,22.594,48.967,5.054,0.968,39.35,241.0
D'Angelo Russell,15.453,51.105,3.665,0.995,35.602,266.0
Greg Monroe,6.234,45.07,1.333,0.96,46.667,233.0
Deron Williams,16.667,55.556,5.325,1.077,41.42,340.0
Jamal Crawford,18.026,53.175,5.238,1.071,39.048,336.0
Marcus Morris,22.686,59.442,9.559,1.118,42.647,372.0
Jabari Parker,22.491,42.105,6.375,0.813,39.442,113.0
Evan Fournier,24.829,53.448,5.862,1.052,39.31,322.0
JJ Redick,16.587,77.027,6.358,1.52,55.491,429.0
Zach LaVine,14.07,64.894,13.095,1.155,44.643,387.0
Tobias Harris,26.747,54.455,2.703,1.108,45.045,362.0
Devin Booker,11.376,44.872,4.651,0.899,34.109,176.0
Arron Afflalo,23.365,53.5,5.963,1.028,39.908,305.0
Markieff Morris,14.769,29.333,9.639,0.542,21.687,14.0
Jarrett Jack,18.421,42.949,7.692,0.89,35.165,163.0
Serge Ibaka,29.835,45.608,2.932,0.896,37.785,172.0
Jae Crowder,33.0,48.084,3.636,1.027,41.212,304.0
J.R. Smith,33.688,60.032,1.893,1.183,42.271,400.0
Wesley Matthews,36.162,56.065,3.352,1.115,39.385,369.0
Rajon Rondo,15.405,48.171,5.714,0.903,33.143,177.0
Alec Burks,0,0,0,0,0,0
Norris Cole,16.41,40.909,5.208,0.792,30.208,98.0
Al Jefferson,0,0,0,0,0,0
Chandler Parsons,28.164,63.614,4.846,1.229,49.78,404.0
Robert Covington,37.229,46.346,6.105,0.933,34.593,206.0
Joe Johnson,25.974,57.432,6.25,1.087,41.25,348.0
Trevor Ariza,40.346,46.226,7.143,0.893,35.0,168.0
Darren Collison,18.355,55.294,4.372,1.093,42.623,353.0
DeMarre Carroll,32.508,58.763,5.714,1.105,40.0,358.0
Lou Williams,10.256,54.945,1.0,1.17,43.0,395.0
Julius Randle,11.212,35.096,8.13,0.699,34.146,54.0
Jeff Green,29.063,45.783,6.452,0.871,35.484,155.0
Michael Carter-Williams,14.725,43.434,7.826,0.852,39.13,141.0
Michael Beasley,20.319,52.083,1.961,1.078,50.98,347.0
Marcin Gortat,1.634,43.75,0.0,0.938,43.75,213.0
Luol Deng,35.456,49.135,5.263,0.95,38.08,221.0
Gary Harris,26.535,50.889,5.785,0.983,36.777,255.0
Draymond Green,19.688,52.657,7.5,1.013,39.167,288.0
Elfrid Payton,18.024,43.125,7.91,0.785,32.203,95.0
Jared Sullinger,20.854,42.746,3.902,0.824,38.537,123.0
George Hill,19.756,56.287,2.809,1.112,39.326,366.0
Trey Burke,24.096,50.282,1.111,0.989,35.0,258.0
CJ Miles,29.117,53.941,4.525,1.059,39.367,326.0
Tony Parker,11.957,56.842,10.909,1.018,41.818,295.0
Mirza Teletovic,32.508,58.514,4.305,1.139,42.384,380.0
Dennis Schroder,12.344,54.661,3.876,1.078,40.31,344.0
Kent Bazemore,30.13,51.852,8.244,0.986,37.634,256.0
Otto Porter,28.929,50.901,6.173,0.971,38.683,247.0
Jose Juan Barea,17.189,64.336,3.378,1.243,46.622,411.0
Harrison Barnes,29.545,54.348,2.262,1.077,41.629,340.0
Bojan Bogdanovic,31.02,53.488,6.993,1.017,36.713,293.0
Isaiah Canaan,27.854,53.881,5.328,1.074,38.934,338.0
TJ Warren,22.266,58.738,6.25,1.116,47.321,371.0
Marco Belinelli,20.339,40.559,5.128,0.814,30.128,115.0
Kenneth Faried,5.16,34.722,9.524,0.643,33.333,35.0
Evan Turner,13.814,37.903,5.797,0.746,32.609,74.0
Jeremy Lin,21.872,42.978,9.91,0.86,36.036,148.0
Hassan Whiteside,1.983,44.444,5.263,0.895,42.105,171.0
Nikola Mirotic,36.41,56.055,5.208,1.111,40.972,365.0
Marvin Williams,39.498,56.707,2.89,1.121,41.618,373.0
Matt Barnes,31.106,47.674,2.222,0.937,33.704,212.0
Dion Waiters,24.442,54.02,5.479,1.041,38.813,313.0
Omri Casspi,38.18,54.808,8.609,1.023,40.066,299.0
Ersan Ilyasova,20.43,50.0,0.0,1.026,36.842,301.0
Jonas Valanciunas,3.235,58.824,17.391,1.0,52.174,268.0
Marcus Thornton,28.571,58.824,2.778,1.139,41.667,379.0
Myles Turner,8.346,40.385,1.852,0.815,38.889,116.0
Hollis Thompson,39.671,56.452,6.39,1.102,41.214,356.0
Al-Farouq Aminu,0,0,0,0,0,0
Nerlens Noel,8.333,34.259,15.493,0.592,30.986,21.0
Sean Kilpatrick,41.379,70.0,8.333,1.25,50.0,412.0
Enes Kanter,5.112,62.222,6.25,1.167,47.917,392.0
Marcus Smart,25.183,37.097,3.488,0.785,30.814,94.0
Terrence Ross,34.29,59.91,6.276,1.126,39.749,374.0
Raymond Felton,22.273,46.629,5.612,0.898,36.735,173.0
Gerald Green,34.978,49.292,4.274,1.009,39.744,283.0
Dwight Howard,0,0,0,0,0,0
Jerryd Bayless,29.908,60.784,2.454,1.239,43.558,409.0
Patrick Beverley,36.501,57.2,4.151,1.106,41.132,359.0
Allen Crabbe,32.526,61.422,5.49,1.192,45.882,402.0
Shabazz Muhammad,20.674,42.683,5.056,0.82,31.461,121.0
Stanley Johnson,25.692,44.186,10.256,0.8,30.769,104.0
Gary Neal,25.266,46.067,5.263,0.884,36.842,158.0
Courtney Lee,39.526,48.925,4.0,0.97,38.0,244.0
Robin Lopez,3.789,41.379,12.121,0.727,36.364,63.0
Kelly Olynyk,24.854,56.419,8.824,1.059,41.176,326.0
Alex Len,9.049,32.143,5.063,0.671,34.177,46.0
Shelvin Mack,23.753,51.648,7.0,0.97,41.0,244.0
Doug McDermott,28.116,58.549,2.956,1.167,42.857,393.0
Luis Scola,29.362,50.0,3.382,0.966,36.715,240.0
Jameer Nelson,20.672,40.26,3.75,0.775,28.75,91.0
O.J. Mayo,26.341,49.02,4.63,0.944,33.333,217.0
Jerami Grant,24.884,44.134,7.944,0.846,35.981,136.0
Jeremy Lamb,18.76,48.598,3.571,0.955,38.393,229.0
Ricky Rubio,22.633,45.652,7.212,0.885,32.212,160.0
Austin Rivers,19.493,54.348,5.691,1.016,35.772,291.0
Kyle Korver,23.961,61.392,8.092,1.127,41.618,375.0
Rodney Stuckey,16.267,44.118,3.158,0.916,38.947,195.0
Patty Mills,24.332,56.402,2.89,1.127,39.306,375.0
Jusuf Nurkic,3.245,27.273,0.0,0.545,27.273,15.0
Kevin Martin,28.182,42.308,3.226,0.968,38.71,242.0
Jordan Hill,7.561,37.255,1.887,0.736,37.736,69.0
Nikola Jokic,10.746,53.896,8.235,1.0,36.471,268.0
Aaron Gordon,0,0,0,0,0,0
Manu Ginobili,27.226,58.696,8.805,1.113,40.881,368.0
Nik Stauskas,38.897,46.61,4.851,0.925,35.448,201.0
Wayne Ellington,31.905,54.45,3.98,1.06,38.308,330.0
Gerald Henderson,22.072,50.37,4.762,0.986,39.456,257.0
Mo Williams,18.4,56.923,4.348,1.116,40.58,370.0
Archie Goodwin,20.1,42.347,4.959,0.884,41.322,159.0
Tony Allen,23.295,39.256,7.857,0.75,32.857,75.0
Terrence Jones,23.34,46.316,6.422,0.89,38.532,162.0
Mario Chalmers,16.801,46.196,5.769,0.923,34.615,198.0
Cory Joseph,19.191,43.561,5.442,0.857,36.054,144.0
Tim Duncan,5.326,44.828,6.452,0.839,41.935,129.0
Toney Douglas,19.495,60.309,4.63,1.176,43.519,396.0
Ramon Sessions,17.711,45.417,8.163,0.891,38.095,165.0
Meyers Leonard,35.405,54.335,7.447,1.005,35.638,282.0
Langston Galloway,27.954,44.764,0.515,0.907,32.99,179.0
PJ Tucker,29.458,55.385,9.417,1.018,38.565,294.0
Danny Green,42.705,49.43,4.982,0.954,34.164,226.0
Gorgui Dieng,14.234,49.01,11.017,0.898,43.22,174.0
Derrick Williams,20.996,46.454,4.487,0.923,37.179,198.0
Bobby Portis,19.38,37.755,1.0,0.76,34.0,79.0
Darrell Arthur,30.104,53.106,5.747,1.011,43.103,286.0
Jon Leuer,23.63,43.902,7.971,0.812,34.783,110.0
Carl Landry,16.613,51.961,0.0,1.058,50.0,325.0
Nick Young,28.904,44.737,3.226,0.944,33.871,216.0
Lance Stephenson,27.111,56.731,11.475,1.016,39.344,292.0
Taj Gibson,5.772,61.111,2.703,1.189,59.459,401.0
Aaron Brooks,0,0,0,0,0,0
Nene,6.055,30.0,0.0,0.667,36.364,42.0
Tyler Johnson,26.814,53.333,5.882,1.035,41.176,310.0
Matthew Dellavedova,23.184,62.069,1.333,1.24,44.667,410.0
Corey Brewer,32.706,39.713,4.425,0.792,31.416,100.0
Ben McLemore,27.713,45.802,15.06,0.843,31.928,131.0
E'Twaun Moore,27.692,59.244,4.762,1.143,43.651,384.0
DeAndre Jordan,0,0,0,0,0,0
Jason Smith,26.995,45.695,1.258,0.931,46.541,205.0
Frank Kaminsky,33.025,40.71,7.477,0.813,33.178,114.0
Lance Thomas,39.014,53.395,6.316,1.074,45.263,337.0
Wesley Johnson,41.539,49.563,4.938,0.951,33.333,222.0
Joffrey Lauvergne,19.058,41.566,5.618,0.798,35.955,103.0
Shane Larkin,12.356,46.753,6.977,0.919,37.209,196.0
Josh Smith,18.595,50.0,4.444,0.956,35.556,230.0
Marreese Speights,18.947,47.525,4.63,0.944,42.593,217.0
JaMychal Green,17.981,41.919,10.526,0.763,31.579,80.0
Garrett Temple,32.476,49.738,3.96,0.97,34.653,246.0
Brandon Jennings,13.812,50.0,4.0,1.04,40.0,312.0
Ian Mahinmi,7.988,36.585,11.538,0.673,36.538,47.0
Mason Plumlee,4.258,36.364,20.0,0.629,37.143,30.0
Jose Calderon,22.98,67.073,3.906,1.289,43.75,418.0
Patrick Patterson,52.797,52.878,5.96,1.01,38.742,285.0
Zaza Pachulia,9.078,33.962,4.615,0.738,40.0,70.0
PJ Hairston,29.747,39.773,4.255,0.787,29.787,96.0
David Lee,7.115,31.25,5.556,0.667,33.333,42.0
Luke Babbitt,43.976,48.473,5.479,0.945,40.411,219.0
Mike Dunleavy,28.07,53.571,6.25,1.078,40.625,346.0
Andrea Bargnani,28.746,42.593,6.383,0.894,43.617,170.0
Jared Dudley,43.35,60.262,9.848,1.11,44.318,364.0
Greivis Vasquez,34.043,41.964,9.375,0.797,31.25,102.0
Cody Zeller,11.697,22.5,2.817,0.549,30.986,16.0
Justise Winslow,30.164,42.453,11.413,0.772,30.435,89.0
Randy Foye,39.362,43.836,1.351,0.865,31.081,152.0
Paul Pierce,39.463,46.037,9.424,0.864,35.079,151.0
Devin Harris,28.773,52.326,4.895,1.021,38.462,298.0
Rudy Gobert,2.145,20.0,0.0,0.692,38.462,52.0
David West,17.916,54.787,4.082,1.051,52.041,321.0
TJ McConnell,12.5,50.0,7.692,0.923,38.462,198.0
Donald Sloan,20.502,53.763,5.102,1.031,37.755,306.0
Vince Carter,28.293,57.589,1.724,1.155,41.379,388.0
Kosta Koufos,0,0,0,0,0,0
D.J. Augustin,13.396,42.647,4.651,0.907,41.86,178.0
Andre Iguodala,26.708,53.782,5.426,1.023,37.209,300.0
