PLAYER_NAME,DEF_RATING,PCT_DREB,PCT_STL,PCT_BLK,OPP_OFF_TOV,OPP_2ND_CHANCE,OPP_FB,OPP_PAINT,DEF_WS
DeMarcus Cousins,104.4,0.357,0.233,0.43,13.8,9.8,10.9,31.8,0.035
Stephen Curry,98.3,0.171,0.348,0.043,12.2,9.8,10.8,32.8,0.064
James Harden,106.0,0.214,0.215,0.152,14.5,10.7,11.0,32.8,0.028
Damian Lillard,107.3,0.138,0.173,0.107,12.3,9.3,8.7,32.8,0.022
Kevin Durant,102.2,0.276,0.177,0.249,13.0,10.9,10.1,33.7,0.045
Anthony Davis,107.3,0.332,0.226,0.568,10.9,8.5,9.2,32.2,0.022
LeBron James,101.4,0.238,0.267,0.224,11.4,8.4,8.5,30.3,0.049
Carmelo Anthony,105.8,0.256,0.212,0.127,11.4,9.5,9.9,32.2,0.029
Russell Westbrook,102.2,0.234,0.376,0.052,12.7,10.5,9.4,33.9,0.045
Paul George,100.0,0.248,0.271,0.109,12.2,9.7,9.0,30.7,0.055
CJ McCollum,104.8,0.109,0.233,0.082,11.9,8.9,8.3,30.3,0.033
DeMar DeRozan,104.1,0.147,0.184,0.07,11.1,8.9,8.6,30.6,0.036
John Wall,103.3,0.178,0.292,0.244,11.7,9.0,9.1,30.3,0.04
Klay Thompson,99.7,0.132,0.131,0.143,12.6,10.1,10.5,33.8,0.057
Blake Griffin,100.0,0.291,0.164,0.145,10.6,9.0,8.2,30.3,0.055
Brandon Knight,107.5,0.128,0.202,0.129,14.8,9.5,12.8,32.7,0.021
Isaiah Thomas,102.6,0.108,0.183,0.039,10.8,11.0,7.9,32.3,0.043
Kobe Bryant,114.1,0.168,0.221,0.087,12.8,12.0,14.3,37.7,-0.008
Kyrie Irving,104.7,0.1,0.242,0.131,10.7,8.3,9.5,33.6,0.033
Kemba Walker,102.2,0.146,0.286,0.123,9.9,8.7,8.5,30.0,0.045
Dwyane Wade,103.9,0.14,0.259,0.125,12.5,9.9,9.2,33.1,0.037
Nikola Vucevic,105.5,0.286,0.155,0.372,11.7,7.9,10.0,31.0,0.03
Andrew Wiggins,106.6,0.1,0.161,0.158,12.6,9.7,10.1,34.5,0.025
Derrick Rose,105.8,0.118,0.176,0.054,11.8,11.2,10.3,34.9,0.029
Eric Bledsoe,103.5,0.146,0.318,0.209,13.5,9.7,11.6,32.6,0.039
Brook Lopez,106.3,0.216,0.151,0.663,13.3,8.4,10.7,33.7,0.026
Reggie Jackson,104.1,0.117,0.165,0.063,10.7,8.0,7.8,34.3,0.036
Kyle Lowry,102.6,0.16,0.326,0.103,10.7,8.7,7.8,29.6,0.043
Jimmy Butler,103.3,0.158,0.326,0.136,11.3,11.0,10.0,32.6,0.04
Kawhi Leonard,94.9,0.227,0.305,0.227,9.2,7.5,9.3,29.4,0.078
Chris Paul,99.8,0.157,0.359,0.048,9.8,8.9,8.4,29.8,0.056
Gordon Hayward,102.8,0.174,0.207,0.084,11.8,8.6,9.0,29.7,0.042
Dirk Nowitzki,104.1,0.267,0.164,0.281,10.5,9.9,11.6,28.5,0.036
Jahlil Okafor,108.7,0.238,0.094,0.295,16.4,10.3,13.3,33.9,0.015
Bradley Beal,105.2,0.128,0.179,0.079,12.2,8.6,9.6,31.0,0.031
Khris Middleton,104.7,0.141,0.253,0.056,12.5,10.9,9.5,32.6,0.034
Chris Bosh,100.3,0.271,0.149,0.16,11.3,9.7,7.2,28.8,0.053
Rudy Gay,106.4,0.211,0.231,0.226,13.8,9.7,11.5,33.1,0.026
Jrue Holiday,105.9,0.133,0.272,0.133,10.4,8.5,7.8,30.6,0.028
