PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins,5.227,58.667,3.061,1.214,64.286,187.0
Stephen Curry,5.973,62.0,4.167,1.317,64.167,249.0
James Harden,1.665,56.25,5.128,1.205,58.974,181.0
Damian Lillard,3.11,63.83,11.864,1.203,59.322,179.0
Kevin Durant,3.987,78.689,6.849,1.493,75.342,321.0
Anthony Davis,7.498,65.882,2.804,1.355,68.224,262.0
LeBron James,5.657,73.034,6.667,1.39,67.619,280.0
Carmelo Anthony,3.134,55.556,0.0,1.154,59.615,138.0
Russell Westbrook,1.863,70.37,15.789,1.237,63.158,198.0
Paul George,3.681,72.0,5.634,1.479,74.648,318.0
CJ McCollum,2.212,61.765,5.263,1.211,60.526,186.0
DeMar DeRozan,1.582,76.0,3.448,1.552,75.862,333.0
John Wall,0.893,41.667,12.5,0.938,43.75,29.0
Klay Thompson,8.431,59.829,5.882,1.221,59.559,190.0
Blake Griffin,5.412,90.323,4.762,1.619,88.095,343.0
Brandon Knight,2.362,66.667,14.815,1.222,59.259,191.0
Isaiah Thomas,1.745,60.714,3.125,1.219,62.5,189.0
Kobe Bryant,1.79,45.0,8.333,0.958,45.833,36.0
Kyrie Irving,1.308,90.0,21.429,1.5,71.429,322.0
Kemba Walker,1.954,72.0,6.061,1.455,72.727,307.0
Dwyane Wade,5.041,53.448,13.924,1.038,51.899,79.0
Nikola Vucevic,9.594,54.369,6.78,1.051,53.39,83.0
Andrew Wiggins,5.488,61.765,4.211,1.305,67.368,242.0
Derrick Rose,3.475,37.5,6.667,0.733,37.778,4.0
Eric Bledsoe,1.622,70.0,0.0,1.364,72.727,263.0
Brook Lopez,13.688,64.327,3.398,1.33,66.505,251.0
Reggie Jackson,1.06,78.571,5.882,1.588,76.471,338.0
Kyle Lowry,0.675,75.0,0.0,1.727,81.818,352.0
Jimmy Butler,9.164,75.49,1.587,1.532,77.778,329.0
Kawhi Leonard,4.302,65.957,3.509,1.421,68.421,292.0
Chris Paul,0,0,0,0,0,0
Gordon Hayward,3.861,56.0,6.452,1.161,56.452,149.0
Dirk Nowitzki,3.196,78.378,2.381,1.548,78.571,332.0
Jahlil Okafor,11.066,45.361,4.587,0.89,45.872,20.0
Bradley Beal,3.388,77.778,6.061,1.455,75.758,307.0
Khris Middleton,2.075,44.444,0.0,0.933,46.667,28.0
Chris Bosh,4.564,73.333,4.545,1.477,75.0,317.0
Rudy Gay,5.986,55.224,5.333,1.053,53.333,85.0
Jrue Holiday,2.007,85.0,4.167,1.625,83.333,344.0
LaMarcus Aldridge,8.984,70.0,3.478,1.435,70.435,304.0
Karl-Anthony Towns,8.022,71.134,5.172,1.388,68.966,279.0
Ryan Anderson,2.603,54.545,6.897,1.103,58.621,111.0
Jordan Clarkson,5.367,63.934,7.042,1.239,61.972,202.0
Pau Gasol,7.226,54.667,7.527,1.108,55.914,114.0
Marc Gasol,8.226,64.063,5.195,1.26,64.935,212.0
Avery Bradley,4.565,77.083,3.704,1.5,75.926,322.0
Victor Oladipo,4.649,67.347,0.0,1.368,70.175,267.0
Zach Randolph,6.239,70.69,7.246,1.333,66.667,252.0
Emmanuel Mudiay,2.876,57.143,11.429,1.086,54.286,101.0
Danilo Gallinari,5.366,67.647,3.846,1.423,71.154,294.0
Thaddeus Young,15.942,58.228,9.091,1.091,55.08,104.0
Paul Millsap,11.691,62.406,7.143,1.232,62.5,196.0
Derrick Favors,22.678,63.684,6.897,1.259,63.362,210.0
Andre Drummond,12.415,60.69,3.279,1.137,60.656,129.0
Al Horford,0,0,0,0,0,0
Kevin Love,4.282,45.0,7.407,1.019,51.852,68.0
Giannis Antetokounmpo,10.921,67.857,6.536,1.314,67.32,248.0
Monta Ellis,1.908,73.684,16.0,1.28,64.0,226.0
Kentavious Caldwell-Pope,3.181,70.0,5.405,1.432,70.27,302.0
Tyreke Evans,0,0,0,0,0,0
Ish Smith,0,0,0,0,0,0
Nicolas Batum,2.445,52.381,14.286,1.0,50.0,43.0
Mike Conley,2.638,82.353,8.696,1.609,78.261,341.0
Jeff Teague,1.566,66.667,9.524,1.333,66.667,252.0
Rodney Hood,2.027,56.522,0.0,1.167,58.333,152.0
Kristaps Porzingis,10.733,56.818,10.0,1.125,58.333,119.0
Goran Dragic,2.729,55.556,6.452,1.032,51.613,78.0
Eric Gordon,1.477,66.667,0.0,1.4,70.0,283.0
Will Barton,3.997,68.889,2.041,1.367,69.388,266.0
D'Angelo Russell,3.884,71.795,8.333,1.396,68.75,281.0
Greg Monroe,17.623,60.843,5.66,1.203,62.736,178.0
Deron Williams,1.775,66.667,11.111,1.222,61.111,191.0
Jamal Crawford,0,0,0,0,0,0
Marcus Morris,2.002,80.952,4.167,1.667,79.167,348.0
Jabari Parker,17.204,60.377,7.292,1.182,59.896,164.0
Evan Fournier,4.452,62.5,7.692,1.308,63.462,243.0
JJ Redick,1.438,53.846,13.333,1.0,46.667,43.0
Zach LaVine,1.926,57.895,4.348,1.174,60.87,154.0
Tobias Harris,3.133,90.0,7.692,1.692,84.615,350.0
Devin Booker,4.056,67.442,2.174,1.37,67.391,269.0
Arron Afflalo,3.323,72.0,6.452,1.452,70.968,306.0
Markieff Morris,5.949,68.75,4.762,1.429,71.429,296.0
Jarrett Jack,0,0,0,0,0,0
Serge Ibaka,10.01,66.279,9.709,1.204,61.165,180.0
Jae Crowder,5.6,72.34,5.357,1.464,71.429,312.0
J.R. Smith,1.807,61.538,17.647,0.941,47.059,30.0
Wesley Matthews,2.727,43.478,7.407,0.852,44.444,12.0
Rajon Rondo,3.785,64.865,11.628,1.14,58.14,131.0
Alec Burks,0,0,0,0,0,0
Norris Cole,0,0,0,0,0,0
Al Jefferson,0,0,0,0,0,0
Chandler Parsons,5.583,72.5,4.444,1.378,68.889,272.0
Robert Covington,3.463,52.0,12.5,1.0,50.0,43.0
Joe Johnson,0,0,0,0,0,0
Trevor Ariza,3.458,72.727,16.667,1.278,63.889,223.0
Darren Collison,3.21,41.379,6.25,0.875,40.625,17.0
DeMarre Carroll,8.05,43.478,7.692,0.846,42.308,9.0
Lou Williams,1.538,71.429,6.667,1.333,66.667,252.0
Julius Randle,8.66,56.944,6.316,1.2,60.0,173.0
Jeff Green,5.0,71.429,0.0,1.313,68.75,245.0
Michael Carter-Williams,8.195,56.364,3.125,1.125,59.375,119.0
Michael Beasley,7.968,50.0,5.0,1.05,55.0,82.0
Marcin Gortat,31.358,57.692,5.212,1.134,58.306,125.0
Luol Deng,9.55,64.384,6.897,1.276,62.069,222.0
Gary Harris,9.759,64.557,6.742,1.27,61.798,217.0
Draymond Green,9.68,73.913,11.017,1.373,68.644,270.0
Elfrid Payton,5.397,53.191,7.547,0.981,49.057,41.0
Jared Sullinger,8.85,54.054,4.598,1.046,55.172,81.0
George Hill,3.441,79.31,3.226,1.581,77.419,337.0
Trey Burke,0,0,0,0,0,0
CJ Miles,0,0,0,0,0,0
Tony Parker,2.717,81.818,0.0,1.64,84.0,347.0
Mirza Teletovic,2.045,61.538,15.789,1.158,57.895,141.0
Dennis Schroder,1.531,53.333,6.25,1.0,50.0,43.0
Kent Bazemore,8.855,60.87,6.098,1.159,57.317,145.0
Otto Porter,9.405,61.644,1.266,1.278,63.291,225.0
Jose Juan Barea,1.161,88.889,10.0,1.6,80.0,339.0
Harrison Barnes,9.626,56.667,4.167,1.194,59.722,170.0
Bojan Bogdanovic,4.881,51.351,11.111,1.0,48.889,43.0
Isaiah Canaan,2.283,35.714,15.0,0.75,40.0,6.0
TJ Warren,9.145,63.636,2.174,1.239,63.043,201.0
