PLAYER_NAME,0-2 Feet - Very Tight,2-4 Feet - Tight,4-6 Feet - Open,6+ Feet - Wide Open
DeMarcus Cousins,0.275,0.354,0.176,0.195
Stephen Curry,0.126,0.344,0.368,0.162
James Harden,0.142,0.476,0.301,0.082
Damian Lillard,0.178,0.367,0.35,0.106
Kevin Durant,0.144,0.492,0.269,0.096
Anthony Davis,0.204,0.38,0.284,0.133
LeBron James,0.198,0.379,0.292,0.132
Carmelo Anthony,0.176,0.449,0.297,0.077
Russell Westbrook,0.197,0.384,0.277,0.142
Paul George,0.149,0.394,0.327,0.13
CJ McCollum,0.159,0.372,0.324,0.145
DeMar DeRozan,0.213,0.494,0.228,0.065
John Wall,0.124,0.337,0.362,0.177
Klay Thompson,0.1,0.372,0.351,0.177
Blake Griffin,0.182,0.231,0.292,0.295
Brandon Knight,0.125,0.333,0.351,0.19
Isaiah Thomas,0.205,0.44,0.273,0.083
Kobe Bryant,0.122,0.532,0.268,0.078
Kyrie Irving,0.173,0.415,0.263,0.149
Kemba Walker,0.163,0.381,0.334,0.122
Dwyane Wade,0.181,0.51,0.259,0.05
Nikola Vucevic,0.196,0.401,0.231,0.173
Andrew Wiggins,0.289,0.39,0.213,0.107
Derrick Rose,0.197,0.446,0.305,0.052
Eric Bledsoe,0.116,0.352,0.312,0.22
Brook Lopez,0.236,0.409,0.229,0.126
Reggie Jackson,0.197,0.432,0.283,0.088
Kyle Lowry,0.177,0.407,0.29,0.127
Jimmy Butler,0.207,0.418,0.269,0.106
Kawhi Leonard,0.154,0.351,0.35,0.144
Chris Paul,0.063,0.342,0.417,0.179
Gordon Hayward,0.152,0.315,0.322,0.21
Dirk Nowitzki,0.088,0.443,0.281,0.188
Jahlil Okafor,0.286,0.468,0.215,0.03
Bradley Beal,0.129,0.322,0.327,0.222
Khris Middleton,0.143,0.488,0.268,0.102
Chris Bosh,0.115,0.33,0.333,0.222
Rudy Gay,0.202,0.41,0.238,0.15
Jrue Holiday,0.196,0.391,0.29,0.123
LaMarcus Aldridge,0.192,0.356,0.212,0.24
Karl-Anthony Towns,0.241,0.307,0.259,0.193
Ryan Anderson,0.146,0.296,0.326,0.232
Jordan Clarkson,0.207,0.369,0.295,0.129
Pau Gasol,0.196,0.315,0.267,0.222
Marc Gasol,0.192,0.313,0.276,0.219
Avery Bradley,0.103,0.396,0.314,0.187
Victor Oladipo,0.197,0.289,0.322,0.192
Zach Randolph,0.278,0.355,0.246,0.121
Emmanuel Mudiay,0.152,0.384,0.307,0.157
Danilo Gallinari,0.134,0.383,0.363,0.119
Thaddeus Young,0.299,0.422,0.191,0.088
Paul Millsap,0.182,0.394,0.249,0.175
Derrick Favors,0.284,0.328,0.265,0.123
Andre Drummond,0.331,0.55,0.092,0.027
Al Horford,0.109,0.265,0.245,0.38
Kevin Love,0.127,0.273,0.296,0.304
Giannis Antetokounmpo,0.225,0.416,0.21,0.149
Monta Ellis,0.134,0.394,0.313,0.159
Kentavious Caldwell-Pope,0.165,0.35,0.301,0.184
Tyreke Evans,0.236,0.383,0.217,0.163
Ish Smith,0.16,0.432,0.268,0.139
Nicolas Batum,0.109,0.374,0.319,0.197
Mike Conley,0.147,0.313,0.332,0.208
Jeff Teague,0.172,0.349,0.248,0.232
Rodney Hood,0.196,0.334,0.316,0.154
Kristaps Porzingis,0.161,0.36,0.281,0.198
Goran Dragic,0.195,0.355,0.312,0.138
Eric Gordon,0.077,0.298,0.333,0.292
Will Barton,0.193,0.4,0.294,0.112
D'Angelo Russell,0.136,0.388,0.321,0.155
Greg Monroe,0.417,0.413,0.111,0.059
Deron Williams,0.128,0.38,0.323,0.168
Jamal Crawford,0.141,0.473,0.289,0.097
Marcus Morris,0.111,0.415,0.324,0.149
Jabari Parker,0.221,0.385,0.248,0.146
Evan Fournier,0.155,0.287,0.262,0.296
JJ Redick,0.059,0.336,0.363,0.242
Zach LaVine,0.166,0.352,0.314,0.168
Tobias Harris,0.26,0.325,0.227,0.188
Devin Booker,0.16,0.418,0.268,0.155
Arron Afflalo,0.112,0.536,0.248,0.104
Markieff Morris,0.202,0.31,0.287,0.201
Jarrett Jack,0.118,0.494,0.287,0.101
Serge Ibaka,0.087,0.24,0.288,0.385
Jae Crowder,0.081,0.337,0.418,0.164
J.R. Smith,0.086,0.357,0.321,0.236
Wesley Matthews,0.076,0.275,0.356,0.293
Rajon Rondo,0.132,0.374,0.308,0.186
Alec Burks,0.251,0.347,0.228,0.174
Norris Cole,0.099,0.357,0.36,0.184
Al Jefferson,0.25,0.459,0.232,0.059
Chandler Parsons,0.131,0.413,0.324,0.133
Robert Covington,0.107,0.368,0.371,0.154
Joe Johnson,0.164,0.341,0.311,0.183
Trevor Ariza,0.099,0.259,0.315,0.326
Darren Collison,0.142,0.348,0.297,0.213
DeMarre Carroll,0.159,0.407,0.27,0.163
Lou Williams,0.127,0.403,0.33,0.14
Julius Randle,0.355,0.356,0.151,0.138
Jeff Green,0.232,0.354,0.23,0.185
Michael Carter-Williams,0.263,0.425,0.191,0.121
Michael Beasley,0.195,0.449,0.278,0.078
Marcin Gortat,0.198,0.539,0.217,0.046
Luol Deng,0.141,0.341,0.299,0.218
