PLAYER_NAME,Overall,3 Pointers,2 Pointers,Less Than 6Ft,Less Than 10Ft,Greater Than 15Ft
DeMarcus Cousins,-0.015,0.042,-0.035,-0.061,-0.047,0.014
Stephen Curry,-0.031,-0.036,-0.019,0.058,0.05,-0.045
James Harden,0.022,0.018,0.041,0.058,0.051,0.008
Damian Lillard,0.02,0.034,0.012,0.079,0.056,0.022
Kevin Durant,-0.063,-0.078,-0.043,-0.027,-0.032,-0.074
Anthony Davis,-0.034,-0.019,-0.038,-0.047,-0.033,-0.035
LeBron James,-0.073,-0.027,-0.082,-0.114,-0.089,-0.046
Carmelo Anthony,-0.03,-0.044,0.006,0.022,0.006,-0.034
Russell Westbrook,0.017,0.012,0.025,0.046,0.049,0.013
Paul George,-0.04,-0.049,-0.014,-0.001,-0.008,-0.04
CJ McCollum,0.006,0.024,-0.003,0.001,0.022,0.015
DeMar DeRozan,0.031,0.054,0.027,0.091,0.048,0.04
John Wall,-0.015,0.013,-0.021,0.034,0.041,-0.003
Klay Thompson,-0.014,-0.047,0.002,0.035,0.018,-0.042
Blake Griffin,0.015,0.031,0.012,0.021,0.053,0.017
Brandon Knight,0.021,0.032,0.024,0.099,0.093,0.018
Isaiah Thomas,-0.004,-0.061,0.032,0.137,0.075,-0.026
Kobe Bryant,-0.002,-0.008,0.023,0.072,0.046,0.019
Kyrie Irving,-0.006,-0.006,-0.001,0.055,0.011,-0.012
Kemba Walker,0.007,-0.01,0.033,0.093,0.061,0.005
Dwyane Wade,-0.018,0.009,-0.028,0.011,-0.012,-0.011
Nikola Vucevic,-0.014,-0.064,-0.022,-0.024,-0.032,-0.026
Andrew Wiggins,0.007,0.006,0.021,0.025,0.013,0.021
Derrick Rose,0.003,-0.016,0.006,0.094,0.036,-0.001
Eric Bledsoe,-0.016,-0.037,0.004,0.019,0.004,-0.018
Brook Lopez,-0.023,0.055,-0.042,-0.083,-0.07,0.026
Reggie Jackson,0.036,-0.034,0.066,0.127,0.093,-0.012
Kyle Lowry,-0.002,-0.026,0.02,0.081,0.052,-0.017
Jimmy Butler,0.02,0.049,0.008,-0.001,-0.008,0.047
Kawhi Leonard,-0.056,-0.012,-0.072,-0.07,-0.087,-0.012
Chris Paul,0.021,0.003,0.04,0.075,0.079,0.019
Gordon Hayward,0.014,0.026,0.014,0.027,-0.014,0.027
Dirk Nowitzki,0.012,-0.013,0.02,-0.015,0.001,0.015
Jahlil Okafor,-0.002,0.027,-0.012,-0.067,-0.052,0.021
Bradley Beal,0.01,0.011,0.023,0.117,0.076,0.003
Khris Middleton,-0.02,-0.048,0.037,0.109,0.077,-0.035
Chris Bosh,0.008,0.048,-0.012,0.021,0.004,0.005
Rudy Gay,-0.01,-0.006,-0.001,0.024,0.015,-0.025
Jrue Holiday,0.028,0.009,0.061,0.095,0.126,0.006
LaMarcus Aldridge,-0.024,0.023,-0.038,-0.028,-0.057,0.008
Karl-Anthony Towns,0.001,0.025,-0.014,-0.043,-0.027,0.006
Ryan Anderson,-0.002,0.001,-0.009,-0.001,0.004,-0.02
Jordan Clarkson,0.035,0.012,0.047,0.11,0.09,0.015
Pau Gasol,-0.042,-0.02,-0.058,-0.114,-0.098,0.03
Marc Gasol,-0.035,-0.007,-0.048,-0.07,-0.079,-0.001
Avery Bradley,-0.024,-0.022,-0.01,-0.001,0.011,-0.018
Victor Oladipo,-0.002,-0.001,0.009,0.02,0.0,0.015
Zach Randolph,0.021,-0.061,0.038,0.06,0.062,-0.023
Emmanuel Mudiay,0.009,0.026,0.015,0.036,0.063,-0.014
Danilo Gallinari,0.018,0.023,0.032,0.043,0.04,0.026
Thaddeus Young,0.009,-0.044,0.034,-0.002,0.03,-0.032
Paul Millsap,-0.015,-0.004,-0.018,-0.073,-0.039,-0.001
Derrick Favors,-0.014,0.036,-0.028,-0.077,-0.062,0.038
Andre Drummond,0.015,0.105,-0.001,-0.026,-0.023,0.08
Al Horford,-0.011,-0.021,-0.02,-0.04,-0.041,-0.012
Kevin Love,0.036,0.031,0.029,0.016,0.023,0.034
Giannis Antetokounmpo,-0.018,0.039,-0.038,-0.088,-0.081,0.025
Monta Ellis,-0.026,-0.062,0.019,0.092,0.048,-0.032
Kentavious Caldwell-Pope,-0.017,-0.029,-0.012,0.02,0.004,-0.016
Tyreke Evans,0.075,0.085,0.076,0.086,0.062,0.097
Ish Smith,0.046,0.022,0.051,0.133,0.093,0.017
Nicolas Batum,-0.015,-0.018,0.007,0.001,-0.001,-0.006
Mike Conley,0.016,-0.015,0.059,0.036,0.06,0.014
Jeff Teague,-0.037,-0.01,-0.032,0.047,0.011,-0.017
Rodney Hood,-0.001,-0.034,0.018,0.056,0.041,-0.007
Kristaps Porzingis,-0.049,-0.047,-0.054,-0.097,-0.071,-0.03
Goran Dragic,-0.036,-0.038,-0.041,0.01,-0.006,-0.049
Eric Gordon,0.012,-0.019,0.029,0.066,0.088,-0.02
Will Barton,0.018,-0.037,0.043,0.026,0.048,-0.007
D'Angelo Russell,0.036,-0.011,0.068,0.149,0.105,-0.012
Greg Monroe,0.027,0.047,0.011,0.002,-0.008,0.009
Deron Williams,-0.005,-0.031,0.036,0.147,0.088,-0.015
Jamal Crawford,-0.021,0.012,-0.022,0.06,0.015,-0.004
Marcus Morris,-0.02,-0.021,-0.013,0.049,0.012,-0.035
Jabari Parker,0.046,0.049,0.059,0.067,0.075,0.035
Evan Fournier,0.029,0.021,0.04,0.069,0.038,0.035
JJ Redick,-0.057,-0.073,-0.052,0.015,-0.021,-0.051
Zach LaVine,0.023,0.007,0.042,0.099,0.083,0.004
Tobias Harris,0.007,0.039,-0.008,-0.014,-0.027,0.029
Devin Booker,0.048,0.063,0.037,0.06,0.066,0.042
Arron Afflalo,0.014,0.001,0.023,0.159,0.139,-0.004
Markieff Morris,-0.012,0.007,-0.021,0.024,0.022,-0.012
Jarrett Jack,0.02,0.004,0.06,0.044,0.033,0.025
Serge Ibaka,-0.009,0.012,-0.019,-0.054,-0.032,-0.006
Jae Crowder,-0.007,-0.046,0.028,0.074,0.047,-0.02
J.R. Smith,0.005,0.007,0.021,0.068,0.054,0.003
Wesley Matthews,-0.013,-0.006,-0.001,0.123,0.078,-0.037
Rajon Rondo,0.021,-0.005,0.061,0.108,0.104,-0.002
Alec Burks,0.052,0.031,0.069,0.109,0.092,0.036
Norris Cole,0.054,0.0,0.084,0.177,0.153,0.0
Al Jefferson,0.002,-0.131,0.001,-0.008,-0.014,0.006
Chandler Parsons,-0.019,-0.011,-0.008,0.034,-0.015,0.022
Robert Covington,-0.006,0.021,-0.017,0.058,0.043,-0.028
Joe Johnson,0.011,0.014,0.031,0.129,0.099,0.004
Trevor Ariza,-0.003,0.016,-0.005,0.062,0.035,-0.007
Darren Collison,0.03,0.031,0.043,0.143,0.079,0.025
DeMarre Carroll,0.003,-0.013,0.013,0.044,0.068,-0.019
Lou Williams,-0.017,-0.053,0.001,0.078,0.065,-0.056
Julius Randle,0.037,0.015,0.048,0.044,0.065,-0.007
Jeff Green,0.014,0.053,0.0,0.005,-0.005,0.059
Michael Carter-Williams,-0.01,0.002,-0.01,0.008,0.022,-0.027
Michael Beasley,-0.001,0.08,-0.038,-0.135,-0.059,0.074
Marcin Gortat,-0.016,0.012,-0.03,-0.083,-0.063,-0.011
Luol Deng,0.013,-0.005,0.012,0.026,0.015,-0.002
Gary Harris,0.036,0.048,0.036,0.068,0.051,0.041
Draymond Green,-0.061,-0.051,-0.063,-0.082,-0.087,-0.021
Elfrid Payton,0.036,-0.003,0.067,0.071,0.093,-0.003
Jared Sullinger,0.005,0.079,-0.013,-0.001,-0.003,0.003
George Hill,-0.009,0.041,-0.024,0.108,0.03,0.008
Trey Burke,0.021,0.026,0.022,0.117,0.102,-0.016
CJ Miles,0.005,-0.033,0.025,-0.008,-0.009,0.017
Tony Parker,0.004,-0.013,0.008,0.107,0.035,0.018
Mirza Teletovic,0.04,0.058,0.029,0.061,0.049,0.019
Dennis Schroder,-0.003,0.027,-0.015,0.004,0.006,0.014
Kent Bazemore,-0.031,-0.007,-0.034,-0.007,0.0,-0.015
Otto Porter,0.042,0.037,0.053,0.075,0.074,0.047
Jose Juan Barea,0.006,0.002,0.026,0.115,0.087,0.004
Harrison Barnes,0.018,0.06,-0.002,0.014,0.023,0.033
Bojan Bogdanovic,0.064,-0.019,0.11,0.157,0.153,0.006
Isaiah Canaan,0.036,0.012,0.046,0.092,0.065,0.016
TJ Warren,0.011,0.003,0.017,0.054,0.05,-0.006
Marco Belinelli,0.035,-0.003,0.082,0.128,0.151,0.002
Kenneth Faried,0.057,0.078,0.047,0.053,0.052,0.058
Evan Turner,-0.019,-0.045,0.001,0.051,0.04,-0.037
Jeremy Lin,-0.016,0.008,-0.028,-0.044,-0.023,0.002
Hassan Whiteside,-0.022,-0.066,-0.036,-0.108,-0.068,-0.048
Nikola Mirotic,-0.001,0.004,-0.005,0.034,0.02,-0.005
Marvin Williams,0.0,-0.005,0.005,-0.036,-0.026,0.017
Matt Barnes,0.036,0.059,0.039,0.056,0.056,0.043
Dion Waiters,-0.006,-0.018,0.012,0.003,-0.007,-0.007
Omri Casspi,0.035,-0.029,0.068,0.085,0.064,0.0
Ersan Ilyasova,0.049,0.0,0.056,0.029,0.033,0.038
Jonas Valanciunas,-0.004,0.05,-0.022,-0.04,-0.041,0.011
Marcus Thornton,0.023,-0.069,0.09,0.059,0.1,-0.032
Myles Turner,-0.025,0.0,-0.039,-0.096,-0.046,-0.043
Hollis Thompson,0.019,-0.025,0.031,0.038,0.027,0.01
Al-Farouq Aminu,0.006,-0.025,0.024,-0.01,0.009,0.006
Nerlens Noel,0.003,0.043,-0.01,-0.079,-0.039,0.032
Sean Kilpatrick,0.059,0.032,0.09,0.125,0.118,0.026
Enes Kanter,-0.004,0.031,-0.022,-0.036,-0.025,0.012
Marcus Smart,-0.004,0.015,0.004,-0.019,0.001,0.028
Terrence Ross,-0.04,-0.005,-0.058,-0.006,-0.04,-0.02
Raymond Felton,-0.018,-0.019,-0.006,0.058,0.029,-0.025
Gerald Green,-0.033,-0.003,-0.047,-0.011,-0.004,-0.021
Dwight Howard,0.007,-0.018,-0.002,-0.019,-0.001,0.007
Jerryd Bayless,-0.004,-0.016,0.017,0.042,0.027,-0.001
Patrick Beverley,-0.003,-0.006,0.011,0.067,0.048,-0.007
Allen Crabbe,-0.011,0.045,-0.041,-0.013,0.013,0.002
Shabazz Muhammad,0.045,0.073,0.041,0.02,0.039,0.05
Stanley Johnson,0.012,0.018,0.007,0.057,0.032,0.01
Gary Neal,0.068,0.052,0.092,0.171,0.154,0.058
Courtney Lee,-0.017,0.0,-0.016,0.084,0.051,-0.029
Robin Lopez,-0.006,0.031,-0.019,-0.108,-0.072,0.088
Kelly Olynyk,-0.025,-0.009,-0.031,-0.014,-0.027,-0.043
Alex Len,-0.001,-0.005,-0.009,-0.016,-0.031,0.004
Shelvin Mack,0.003,0.045,-0.015,0.1,0.04,0.017
Doug McDermott,0.035,-0.026,0.069,0.163,0.103,-0.012
Luis Scola,0.031,0.07,0.018,-0.024,0.006,0.056
Jameer Nelson,0.028,0.003,0.057,0.172,0.11,0.012
O.J. Mayo,-0.032,-0.091,0.022,0.091,0.066,-0.071
Jerami Grant,-0.042,-0.015,-0.05,-0.068,-0.075,-0.007
Jeremy Lamb,-0.022,-0.051,0.002,0.098,0.031,-0.03
Ricky Rubio,0.033,-0.002,0.064,0.148,0.121,0.003
Austin Rivers,-0.048,-0.035,-0.054,-0.036,-0.048,-0.028
Kyle Korver,-0.009,-0.001,-0.012,0.016,0.007,0.001
Rodney Stuckey,0.024,0.057,0.007,0.076,0.034,0.034
Patty Mills,0.03,-0.029,0.056,0.184,0.113,-0.016
Jusuf Nurkic,0.009,-0.001,0.001,-0.013,-0.014,-0.014
Kevin Martin,0.072,0.003,0.111,0.243,0.159,0.024
