PLAYER_NAME,0 Dribbles,1 Dribble,2 Dribbles,3-6 Dribbles,7+ Dribbles
DeMarcus Cousins,0.506,0.193,0.18,0.113,0.008
Stephen Curry,0.341,0.114,0.08,0.224,0.24
James Harden,0.24,0.111,0.095,0.297,0.257
Damian Lillard,0.24,0.072,0.079,0.232,0.378
Kevin Durant,0.38,0.194,0.128,0.173,0.125
Anthony Davis,0.574,0.279,0.082,0.062,0.004
LeBron James,0.309,0.132,0.105,0.229,0.226
Carmelo Anthony,0.373,0.208,0.126,0.185,0.109
Russell Westbrook,0.157,0.097,0.092,0.31,0.343
Paul George,0.39,0.122,0.116,0.249,0.122
CJ McCollum,0.256,0.111,0.112,0.294,0.227
DeMar DeRozan,0.195,0.132,0.161,0.336,0.177
John Wall,0.194,0.1,0.104,0.344,0.258
Klay Thompson,0.612,0.129,0.115,0.127,0.018
Blake Griffin,0.542,0.149,0.101,0.138,0.07
Brandon Knight,0.24,0.147,0.125,0.215,0.273
Isaiah Thomas,0.224,0.124,0.161,0.32,0.171
Kobe Bryant,0.35,0.175,0.138,0.217,0.12
Kyrie Irving,0.19,0.072,0.106,0.269,0.363
Kemba Walker,0.22,0.078,0.077,0.275,0.351
Dwyane Wade,0.181,0.155,0.159,0.291,0.214
Nikola Vucevic,0.6,0.184,0.128,0.083,0.005
Andrew Wiggins,0.302,0.254,0.204,0.209,0.031
Derrick Rose,0.176,0.131,0.141,0.313,0.24
Eric Bledsoe,0.204,0.088,0.126,0.334,0.248
Brook Lopez,0.607,0.193,0.077,0.118,0.004
Reggie Jackson,0.147,0.044,0.052,0.253,0.504
Kyle Lowry,0.292,0.095,0.099,0.296,0.218
Jimmy Butler,0.343,0.16,0.158,0.19,0.15
Kawhi Leonard,0.369,0.155,0.135,0.258,0.083
Chris Paul,0.11,0.078,0.092,0.283,0.438
Gordon Hayward,0.356,0.165,0.133,0.229,0.117
Dirk Nowitzki,0.647,0.197,0.093,0.064,0
Jahlil Okafor,0.381,0.228,0.164,0.206,0.021
