PLAYER_NAME,STL,BLK,DREB,RIM_FGM,RIM_FGA,RIM_FG_PCT
DeMarcus Cousins,1.6,1.4,9.2,4.3,8.6,0.504
Stephen Curry,2.1,0.2,4.6,0.9,1.7,0.533
James Harden,1.7,0.6,5.3,1.9,3.4,0.562
Damian Lillard,0.9,0.4,3.4,1.0,1.7,0.576
Kevin Durant,1.0,1.2,7.6,1.5,3.0,0.507
Anthony Davis,1.3,2.0,8.1,2.9,6.1,0.477
LeBron James,1.4,0.6,6.0,1.0,2.0,0.516
Carmelo Anthony,0.9,0.5,6.4,1.2,2.2,0.541
Russell Westbrook,2.0,0.3,6.0,1.2,2.0,0.574
Paul George,1.9,0.4,6.0,1.6,2.9,0.54
CJ McCollum,1.2,0.3,2.7,1.1,2.0,0.551
DeMar DeRozan,1.0,0.3,3.6,1.1,1.7,0.633
John Wall,1.9,0.8,4.4,1.2,1.9,0.608
Klay Thompson,0.8,0.6,3.4,1.5,2.8,0.536
Blake Griffin,0.8,0.5,6.9,2.5,4.4,0.569
Brandon Knight,1.2,0.4,3.2,0.9,1.4,0.616
Isaiah Thomas,1.1,0.1,2.4,0.7,1.2,0.596
Kobe Bryant,0.9,0.2,3.1,0.7,1.1,0.64
Kyrie Irving,1.1,0.3,2.1,1.0,1.9,0.545
Kemba Walker,1.6,0.5,3.7,1.4,2.5,0.573
Dwyane Wade,1.1,0.6,3.0,0.9,1.6,0.563
Nikola Vucevic,0.8,1.0,6.1,4.4,8.2,0.54
Andrew Wiggins,1.0,0.6,2.3,1.4,2.6,0.541
Derrick Rose,0.7,0.2,2.7,1.0,1.8,0.59
Eric Bledsoe,2.0,0.6,3.5,1.2,2.5,0.474
Brook Lopez,0.8,1.7,5.1,4.6,9.7,0.47
Reggie Jackson,0.7,0.1,2.5,1.6,2.5,0.652
Kyle Lowry,2.1,0.4,4.0,1.5,2.3,0.657
Jimmy Butler,1.6,0.6,4.2,1.9,3.5,0.532
Kawhi Leonard,1.8,1.0,5.5,1.1,2.4,0.449
Chris Paul,2.1,0.2,3.7,1.0,1.8,0.55
Gordon Hayward,1.2,0.3,4.2,0.9,1.5,0.562
Dirk Nowitzki,0.7,0.7,5.8,3.4,6.6,0.52
Jahlil Okafor,0.4,1.2,4.7,4.0,8.0,0.499
Bradley Beal,1.0,0.2,2.7,1.1,1.8,0.6
Khris Middleton,1.7,0.2,3.3,1.2,2.0,0.59
Chris Bosh,0.7,0.6,6.5,2.6,5.2,0.513
Rudy Gay,1.4,0.7,5.0,2.0,3.5,0.553
Jrue Holiday,1.4,0.3,2.6,1.3,2.1,0.603
LaMarcus Aldridge,0.5,1.1,6.2,2.9,5.9,0.484
Karl-Anthony Towns,0.7,1.7,7.7,4.4,8.9,0.496
Ryan Anderson,0.6,0.4,4.0,2.6,4.6,0.57
