PLAYER_NAME,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED_OFF,AVG_SPEED_DEF
DeMarcus Cousins,1.07,1.01,3.83,3.39
Stephen Curry,1.34,1.1,5.05,3.58
James Harden,1.27,1.15,4.12,3.48
Damian Lillard,1.41,1.06,4.64,3.65
Kevin Durant,1.21,1.04,4.18,3.37
Anthony Davis,1.23,1.1,4.28,3.58
LeBron James,1.24,1.04,4.06,3.62
Carmelo Anthony,1.22,1.0,4.02,3.54
Russell Westbrook,1.28,1.08,4.61,3.61
Paul George,1.32,1.13,4.59,3.86
CJ McCollum,1.48,1.09,5.01,3.87
DeMar DeRozan,1.42,1.03,4.48,3.64
John Wall,1.28,1.1,4.42,3.53
Klay Thompson,1.27,1.11,4.87,3.76
Blake Griffin,1.12,0.98,4.05,3.48
Brandon Knight,1.4,1.18,4.7,3.91
Isaiah Thomas,1.24,1.01,4.84,3.57
Kobe Bryant,1.02,0.84,4.18,3.72
Kyrie Irving,1.18,0.93,4.35,3.71
Kemba Walker,1.39,1.07,4.65,3.62
Dwyane Wade,1.14,0.9,4.33,3.64
Nikola Vucevic,1.1,0.96,4.18,3.7
Andrew Wiggins,1.25,1.09,4.32,3.69
Derrick Rose,1.22,1.03,4.63,3.85
Eric Bledsoe,1.3,1.11,4.67,3.84
Brook Lopez,1.15,1.06,4.09,3.77
Reggie Jackson,1.15,0.96,4.5,3.72
Kyle Lowry,1.39,1.05,4.3,3.6
Jimmy Butler,1.42,1.21,4.61,3.95
Kawhi Leonard,1.35,1.07,4.73,4.04
Chris Paul,1.15,0.98,4.25,3.57
Gordon Hayward,1.46,1.08,4.61,3.75
Dirk Nowitzki,1.05,0.88,3.9,3.44
Jahlil Okafor,1.1,0.92,4.19,3.89
Bradley Beal,1.17,1.05,4.69,3.91
Khris Middleton,1.29,1.17,4.4,3.78
Chris Bosh,1.14,0.96,4.04,3.47
Rudy Gay,1.23,1.12,4.46,3.86
Jrue Holiday,1.13,0.93,5.06,3.77
LaMarcus Aldridge,1.12,0.93,4.25,3.81
Karl-Anthony Towns,1.11,1.02,4.25,3.75
Ryan Anderson,1.1,0.94,4.46,3.56
Jordan Clarkson,1.28,1.06,4.56,4.08
Pau Gasol,1.11,0.93,4.17,3.52
Marc Gasol,1.12,0.94,3.74,3.4
Avery Bradley,1.18,1.19,4.46,4.03
Victor Oladipo,1.31,1.13,4.81,4.1
Zach Randolph,1.0,0.89,3.88,3.73
Emmanuel Mudiay,1.26,0.96,4.98,3.77
Danilo Gallinari,1.26,1.0,4.28,3.51
Thaddeus Young,1.25,1.08,4.53,3.92
Paul Millsap,1.2,1.06,4.49,3.8
Derrick Favors,1.19,0.95,4.22,3.77
Andre Drummond,1.11,1.02,4.07,3.68
Al Horford,1.13,1.01,4.38,3.63
Kevin Love,1.11,0.96,4.13,3.76
Giannis Antetokounmpo,1.29,1.13,4.47,3.74
Monta Ellis,1.23,1.04,4.4,3.69
Kentavious Caldwell-Pope,1.35,1.19,4.41,3.87
Tyreke Evans,1.14,0.9,4.57,3.43
Ish Smith,1.25,0.98,5.19,4.0
Nicolas Batum,1.38,1.12,4.71,3.87
Mike Conley,1.25,0.98,4.61,3.88
Jeff Teague,1.03,0.86,4.42,3.51
Rodney Hood,1.26,0.95,4.46,3.75
Kristaps Porzingis,1.05,0.87,4.33,3.75
Goran Dragic,1.37,1.03,4.88,3.86
Eric Gordon,1.23,1.04,4.63,3.67
Will Barton,1.1,0.9,4.6,3.73
D'Angelo Russell,1.14,0.91,4.65,3.97
Greg Monroe,0.95,0.95,3.96,3.81
Deron Williams,1.31,0.98,4.76,3.68
Jamal Crawford,0.95,0.8,4.19,3.6
Marcus Morris,1.32,1.12,4.42,3.76
Jabari Parker,1.23,1.1,4.78,4.06
Evan Fournier,1.32,1.08,4.92,3.95
JJ Redick,1.12,0.95,4.86,4.0
Zach LaVine,1.05,0.96,4.59,4.06
Tobias Harris,1.29,1.06,4.71,3.86
Devin Booker,1.04,0.91,4.49,3.93
Arron Afflalo,1.3,1.01,4.53,3.76
Markieff Morris,0.86,0.76,4.14,3.51
Jarrett Jack,1.21,1.01,4.49,3.78
Serge Ibaka,1.1,0.99,4.22,3.59
Jae Crowder,1.12,1.05,4.49,3.77
J.R. Smith,1.1,0.95,4.19,3.83
Wesley Matthews,1.3,1.06,4.51,3.84
Rajon Rondo,1.26,1.13,4.4,3.71
Alec Burks,0.98,0.82,4.41,3.93
Norris Cole,1.06,0.85,4.96,3.67
Al Jefferson,0.81,0.71,4.09,3.72
Chandler Parsons,1.16,0.9,4.67,3.74
Robert Covington,1.07,0.92,4.5,3.91
Joe Johnson,1.27,1.02,4.52,3.68
