PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins,12.64,58.182,16.878,1.034,48.523,140.0
Stephen Curry,20.11,66.769,12.376,1.215,51.733,315.0
James Harden,21.008,58.084,16.463,1.073,49.593,174.0
Damian Lillard,10.49,50.699,18.593,0.91,40.201,67.0
Kevin Durant,15.128,72.222,14.44,1.318,57.401,363.0
Anthony Davis,8.059,70.37,9.565,1.357,68.696,385.0
LeBron James,19.45,75.709,14.681,1.319,65.374,364.0
Carmelo Anthony,8.137,53.153,14.815,0.933,37.037,76.0
Russell Westbrook,23.284,61.041,15.158,1.145,57.053,244.0
Paul George,16.174,58.219,15.064,1.099,49.359,208.0
CJ McCollum,13.097,57.738,15.111,1.049,47.556,152.0
DeMar DeRozan,7.911,59.14,11.724,1.221,60.69,321.0
John Wall,23.549,58.763,18.72,1.019,50.237,129.0
Klay Thompson,17.545,67.511,10.601,1.24,50.883,333.0
Blake Griffin,11.083,76.531,19.767,1.291,65.116,344.0
Brandon Knight,12.861,68.421,13.605,1.224,57.143,325.0
Isaiah Thomas,22.792,54.573,10.048,1.079,48.804,185.0
Kobe Bryant,9.62,54.286,13.178,0.984,40.31,104.0
Kyrie Irving,13.084,62.719,9.286,1.214,55.714,314.0
Kemba Walker,13.795,59.551,6.867,1.236,57.511,330.0
Dwyane Wade,12.763,59.42,16.0,1.045,55.0,150.0
Nikola Vucevic,5.122,61.111,6.349,1.143,60.317,240.0
Andrew Wiggins,11.727,64.236,13.3,1.177,59.606,278.0
Derrick Rose,14.595,47.122,17.46,0.852,43.386,47.0
Eric Bledsoe,18.732,61.413,16.535,1.087,51.181,195.0
Brook Lopez,3.654,61.538,12.727,1.145,60.0,245.0
Reggie Jackson,13.217,53.02,18.868,0.976,45.283,97.0
Kyle Lowry,16.82,61.856,10.949,1.208,55.474,308.0
Jimmy Butler,12.146,54.091,11.976,1.078,56.287,183.0
Kawhi Leonard,12.83,62.313,10.0,1.206,55.882,306.0
Chris Paul,12.89,66.129,19.892,1.145,52.151,242.0
Gordon Hayward,13.574,68.373,11.009,1.312,61.468,355.0
Dirk Nowitzki,4.642,74.545,8.197,1.344,49.18,379.0
Jahlil Okafor,6.599,71.429,10.769,1.338,64.615,375.0
Bradley Beal,17.454,59.375,4.118,1.182,52.353,283.0
Khris Middleton,13.555,67.986,15.306,1.245,56.633,334.0
Chris Bosh,4.564,57.143,13.636,1.023,47.727,130.0
Rudy Gay,18.276,69.006,13.1,1.24,59.389,332.0
Jrue Holiday,10.451,57.865,20.8,0.952,41.6,87.0
LaMarcus Aldridge,4.844,70.588,6.452,1.419,69.355,402.0
Karl-Anthony Towns,7.331,64.925,23.585,1.085,52.83,191.0
Ryan Anderson,8.348,62.941,6.452,1.194,45.161,294.0
Jordan Clarkson,15.42,54.012,15.686,0.941,44.118,79.0
Pau Gasol,4.973,63.725,10.938,1.219,57.813,317.0
Marc Gasol,1.923,64.286,5.556,1.167,61.111,266.0
Avery Bradley,20.034,60.697,8.439,1.131,52.743,228.0
Victor Oladipo,17.863,55.556,9.132,1.091,53.425,203.0
Zach Randolph,3.074,66.667,11.765,1.176,58.824,274.0
Emmanuel Mudiay,15.283,42.91,16.667,0.817,40.323,42.0
Danilo Gallinari,9.907,71.094,3.125,1.542,69.792,413.0
Thaddeus Young,16.112,55.755,16.402,0.942,48.148,80.0
Paul Millsap,10.856,61.25,13.462,1.077,53.205,178.0
Derrick Favors,3.617,53.333,10.811,1.054,51.351,154.0
Andre Drummond,6.038,64.516,13.483,1.0,52.809,108.0
Al Horford,0,0,0,0,0,0
Kevin Love,9.04,62.048,14.912,1.096,48.246,205.0
Giannis Antetokounmpo,20.414,68.158,13.986,1.224,62.587,324.0
Monta Ellis,17.481,58.642,18.777,1.026,49.782,134.0
Kentavious Caldwell-Pope,22.184,59.569,7.364,1.19,53.488,289.0
Tyreke Evans,14.554,71.053,25.806,1.065,53.226,166.0
Ish Smith,16.609,64.286,18.75,1.083,50.0,188.0
Nicolas Batum,10.568,68.023,25.62,1.025,47.107,132.0
Mike Conley,11.353,48.63,13.131,0.949,45.455,84.0
Jeff Teague,17.375,61.747,16.738,1.107,50.644,213.0
Rodney Hood,7.77,60.606,8.696,1.196,57.609,297.0
Kristaps Porzingis,7.156,51.563,11.25,0.95,45.0,85.0
Goran Dragic,20.599,61.782,16.667,1.073,53.419,173.0
Eric Gordon,16.248,59.239,6.364,1.2,50.0,300.0
Will Barton,22.267,57.639,10.623,1.114,53.114,218.0
D'Angelo Russell,15.777,56.25,18.974,0.949,43.59,83.0
Greg Monroe,5.403,65.385,9.231,1.231,60.0,329.0
Deron Williams,10.454,45.07,15.094,0.953,44.34,88.0
Jamal Crawford,11.845,58.482,10.145,1.152,47.826,251.0
Marcus Morris,11.009,58.0,11.364,1.121,51.515,222.0
Jabari Parker,18.19,66.667,11.33,1.212,62.562,312.0
Evan Fournier,16.01,72.857,10.16,1.342,61.497,377.0
JJ Redick,12.176,65.455,3.937,1.307,53.543,353.0
Zach LaVine,21.524,64.322,9.728,1.218,58.755,316.0
Tobias Harris,12.048,66.25,10.0,1.22,60.0,319.0
Devin Booker,18.607,62.025,13.27,1.166,52.133,265.0
Arron Afflalo,13.183,51.5,8.13,1.033,44.715,138.0
Markieff Morris,6.939,60.938,12.821,1.077,48.718,178.0
Jarrett Jack,10.931,52.857,25.926,0.815,38.889,41.0
Serge Ibaka,12.439,60.476,10.156,1.133,50.781,230.0
Jae Crowder,20.7,58.036,6.28,1.164,55.072,263.0
J.R. Smith,15.303,59.848,3.472,1.139,45.139,235.0
Wesley Matthews,10.909,53.763,3.704,1.111,46.296,214.0
Rajon Rondo,19.806,52.823,38.222,0.671,34.222,13.0
Alec Burks,0,0,0,0,0,0
